"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.921944862E1,-1.546883240E0,6.440207520E0,9.720486145E0
2.923939562E1,-2.409838715E0,6.342909851E0,9.420659637E0
2.925934162E1,-2.252366180E0,4.752766571E0,9.990075531E0
2.927928762E1,-1.776805115E0,3.158132629E0,1.044258453E1
2.929923463E1,-1.263522491E0,2.030677185E0,1.033525772E1
2.931918062E1,-7.951464844E-1,1.095571747E0,9.500743103E0
2.933912762E1,-8.149053955E-1,1.139131165E0,9.382638702E0
2.935907363E1,-9.684860229E-1,1.659000092E0,9.809700623E0
2.937901962E1,-1.067280579E0,2.062710571E0,9.476343842E0
2.939896662E1,-8.285270691E-1,3.065924377E0,8.944948883E0
2.941891262E1,-5.968089294E-1,4.367318115E0,8.351283417E0
2.943885962E1,-4.605921936E-1,5.095853119E0,7.666906586E0
2.945880562E1,-4.345463562E-1,5.040617981E0,6.853049011E0
2.947875162E1,-3.805087280E-1,4.675527191E0,6.008355560E0
2.949869862E1,-1.268611908E0,4.833448792E0,5.219196625E0
2.951864462E1,-1.455124054E0,5.246589661E0,6.109994202E0
2.953859162E1,6.586303711E-2,3.264710999E0,5.917943573E0
2.955853763E1,6.444099426E-1,2.687810669E0,6.391109619E0
2.957848362E1,1.046324158E0,2.929857330E0,7.470814362E0
2.959843062E1,1.424437866E0,2.655777283E0,8.105793915E0
2.961837663E1,1.294358368E0,3.380270691E0,9.173074493E0
2.963832362E1,1.892065430E0,3.885769501E0,9.756411438E0
2.965826962E1,1.500180359E0,4.529431000E0,9.846074982E0
2.967821562E1,1.062340851E0,4.789140930E0,1.036968613E1
2.969816262E1,6.200106812E-1,5.371130676E0,1.072863968E1
2.971810862E1,-8.666976929E-2,7.052584076E0,1.019649628E1
2.973805562E1,-9.485774231E-1,8.054151306E0,1.010204269E1
2.975800163E1,-1.394350433E0,6.765181732E0,1.078746735E1
2.977794762E1,-8.089178467E-1,4.105362854E0,1.092323502E1
2.979789462E1,1.760339355E-1,1.683848419E0,1.035905823E1
2.981784063E1,9.996212769E-1,4.665797424E-1,9.820627899E0
2.983778762E1,1.234782257E0,6.228547668E-1,9.344019012E0
2.985773362E1,1.415905609E0,1.212029572E0,8.934470673E0
2.987767963E1,9.849517822E-1,2.077978821E0,8.769064636E0
2.989762662E1,4.390370178E-1,2.943928070E0,8.774752808E0
2.991757262E1,-1.454974365E-1,3.569776611E0,8.890462189E0
2.993751963E1,-6.933581543E-1,4.013453979E0,8.262218628E0
2.995746562E1,-8.084687805E-1,4.040397949E0,7.570357361E0
2.997741162E1,-6.818321228E-1,3.883075104E0,7.264992371E0
2.999735862E1,-2.601589966E-1,3.551664276E0,7.260202332E0
3.001730463E1,-5.837860107E-2,3.325035553E0,7.159910889E0
3.003725162E1,1.422042847E-2,3.263663177E0,6.673572235E0
3.005719762E1,-1.878593445E-1,3.521127777E0,6.949598236E0
3.007714363E1,-1.146615601E-1,3.590583344E0,7.374714203E0
3.009709062E1,2.814147949E-2,3.670966187E0,7.782017212E0
3.011703662E1,-5.284011841E-2,4.271068268E0,7.787705383E0
3.013698363E1,-5.834866333E-1,5.076842651E0,7.850424957E0
3.015692962E1,-1.169667664E0,5.352419586E0,8.840615845E0
3.017687562E1,-1.644480286E0,5.659431152E0,9.372310181E0
3.019682263E1,-2.003583527E0,5.914201355E0,1.005773483E1
3.021676862E1,-2.061962128E0,5.767207031E0,1.033555710E1
3.023671550E1,-2.043849792E0,5.944438477E0,1.002405487E1
3.025666150E1,-1.944905548E0,5.617967377E0,1.000564316E1
3.027660750E1,-1.664089508E0,3.778292999E0,1.062774948E1
3.029655450E1,-1.514101410E0,1.804647217E0,1.082459015E1
3.031650050E1,-1.886676636E0,1.280437317E0,1.006132736E1
3.033644750E1,-2.184856567E0,1.490151215E0,9.294621735E0
