"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.773419917E0,-1.643125296E0,-3.010898232E-1,-9.169911146E-1
2.793421917E0,-1.555047750E0,-4.015116990E-1,-1.126878023E0
2.813424917E0,-1.263439059E0,-5.479286313E-1,-1.208817124E0
2.833426917E0,-9.662154913E-1,-6.656485796E-1,-1.149944067E0
2.853428917E0,-8.103686571E-1,-6.938050985E-1,-1.002379060E0
2.873431917E0,-7.548980713E-1,-6.194141507E-1,-9.745770097E-1
2.893433917E0,-6.649056077E-1,-4.750130177E-1,-1.013792634E0
2.913436917E0,-5.317354798E-1,-2.304157913E-1,-7.376573682E-1
2.933438917E0,-4.237210155E-1,-8.272650093E-2,-2.698466182E-1
2.953440917E0,-2.340157926E-1,-5.264412239E-2,-4.301081225E-2
2.973443917E0,2.347523272E-1,1.851949543E-1,1.449596584E-1
2.993445917E0,7.143807411E-1,5.802403688E-1,4.886374176E-1
3.013448917E0,8.784818053E-1,1.007712126E0,9.489256740E-1
3.033450917E0,7.528892159E-1,1.309495926E0,1.299790621E0
3.053452917E0,5.875775814E-1,1.437580466E0,1.425842047E0
3.073455917E0,6.372004747E-1,1.387301564E0,1.514382839E0
3.093457917E0,8.598957062E-1,1.203724861E0,1.746083975E0
3.113460917E0,1.161542058E0,8.527880907E-1,2.082749605E0
3.133462917E0,1.447468400E0,3.674090803E-1,2.359514713E0
3.153464917E0,1.637297630E0,-1.537230983E-2,2.457228899E0
3.173467917E0,1.838143706E0,-2.934666574E-1,2.436052799E0
3.193469917E0,2.032093048E0,-3.607370257E-1,2.451900244E0
3.213472917E0,2.195203066E0,-1.877942681E-1,2.546361685E0
3.233475208E0,2.309159756E0,9.915541112E-2,2.605863571E0
3.253477208E0,2.377417803E0,3.375869095E-1,2.596203566E0
3.273480208E0,2.282250166E0,4.425654411E-1,2.544189930E0
3.293482208E0,1.841029763E0,4.146116972E-1,2.453286886E0
3.313485208E0,1.137249470E0,3.207991719E-1,2.250212669E0
3.333487208E0,4.371158481E-1,1.915797442E-1,1.861687183E0
3.353489208E0,-1.651927233E-1,-1.082042791E-2,1.300040364E0
3.373492208E0,-7.318097949E-1,-2.062399387E-1,7.584146857E-1
3.393494208E0,-1.160720706E0,-2.921822667E-1,3.176500797E-1
3.413497208E0,-1.296881795E0,-2.126825005E-1,-1.682082415E-1
3.433499208E0,-1.047309875E0,-7.406554371E-2,-7.425944209E-1
3.453501208E0,-7.952643633E-1,-2.059613168E-1,-1.198910475E0
3.473504208E0,-9.570751190E-1,-7.982693911E-1,-1.506845117E0
3.493506208E0,-1.323084712E0,-1.281731725E0,-2.064321756E0
3.513509208E0,-1.059786320E0,-1.339626312E0,-3.070912838E0
3.533511208E0,-3.907510340E-1,-7.985484004E-1,-3.733010530E0
3.553513208E0,3.241687715E-1,4.987007380E-2,-3.455850363E0
3.573516208E0,7.771145701E-1,8.208347559E-1,-2.746077776E0
3.593518208E0,8.489433527E-1,1.035152435E0,-2.168248415E0
3.613521208E0,5.956528783E-1,6.786109805E-1,-2.001537800E0
3.633523208E0,1.307828724E-1,1.545759141E-1,-2.110447884E0
3.653526208E0,-4.878431261E-1,-3.642872870E-1,-2.216250896E0
3.673528208E0,-1.065961719E0,-7.788827419E-1,-2.233480930E0
3.693530208E0,-1.422305703E0,-9.381107092E-1,-2.147921085E0
3.713533208E0,-1.584582210E0,-8.633166552E-1,-2.009376287E0
3.733535208E0,-1.627696276E0,-6.087780595E-1,-1.813338161E0
3.753537208E0,-1.677164793E0,-3.568376601E-1,-1.566951394E0
3.773540208E0,-1.845477700E0,-1.681773514E-1,-1.279679656E0
3.793542208E0,-2.049421310E0,-8.158122748E-2,-1.059518099E0
3.813545208E0,-2.151060104E0,-1.194075197E-1,-9.617501497E-1
3.833547208E0,-2.028640509E0,-1.119015142E-1,-1.013495803E0
3.853550208E0,-1.672495484E0,-1.117154285E-1,-1.169856548E0
3.873552208E0,-1.151206970E0,-1.428206265E-1,-1.233934522E0
3.893554208E0,-6.466893554E-1,-2.964853644E-1,-1.157014132E0
3.913557208E0,-3.113267720E-1,-4.484145641E-1,-9.597326517E-1
3.933559208E0,-1.687906832E-1,-6.137748361E-1,-7.207475901E-1
3.953562208E0,-1.314465553E-1,-7.064284086E-1,-4.859139323E-1
3.973564208E0,-1.001659110E-1,-7.142727971E-1,-1.855342090E-1
3.993566208E0,3.681693925E-3,-6.343870759E-1,1.226427332E-1
4.013569208E0,3.641271591E-1,-6.137013435E-1,1.481760591E-1
4.033571208E0,8.762732148E-1,-3.504599631E-1,1.994732320E-1
4.053574208E0,9.814003706E-1,2.627764940E-1,7.275379300E-1
4.073576208E0,7.372466326E-1,7.273929119E-1,1.512426615E0
4.093578208E0,4.653927088E-1,9.698812366E-1,2.177824259E0
4.113581208E0,4.090540707E-1,1.149799109E0,2.570890665E0
4.133583208E0,7.274318933E-1,1.210611105E0,2.672795534E0
4.153586208E0,1.328836441E0,1.117523789E0,2.670539856E0
4.173588208E0,1.800903797E0,9.789833426E-1,2.706459284E0
4.193590208E0,1.932010293E0,8.526815772E-1,2.753700256E0
4.213593208E0,1.928425550E0,6.806492209E-1,2.728708506E0
4.233595542E0,2.013535500E0,4.983565509E-1,2.630814552E0
4.253598542E0,2.195685387E0,3.925733864E-1,2.597456217E0
4.273600542E0,2.313848257E0,4.610739648E-1,2.656717777E0
4.293602542E0,2.322597742E0,6.127707958E-1,2.749642134E0
4.313605542E0,2.311156988E0,7.724487185E-1,2.837208033E0
4.333607542E0,2.176410913E0,8.618108630E-1,2.716914892E0
4.353610542E0,1.663571119E0,8.510733843E-1,2.398789644E0
4.373612542E0,8.631350994E-1,8.329117894E-1,2.058799982E0
4.393614542E0,1.705269665E-1,6.225811243E-1,1.737107158E0
4.413617542E0,-3.303114772E-1,1.758437455E-1,1.400682211E0
4.433619542E0,-8.770432472E-1,-5.747449994E-1,1.034273386E0
4.453622542E0,-1.377977133E0,-1.517186403E0,4.844632149E-1
4.473624542E0,-1.728001714E0,-2.087524176E0,-3.956179321E-1
4.493627542E0,-1.711755037E0,-2.074191093E0,-1.117555857E0
4.513629542E0,-1.464425683E0,-1.749922752E0,-1.412416697E0
4.533631542E0,-1.301706076E0,-1.358291030E0,-1.441091299E0
4.553634542E0,-1.362320185E0,-6.549730897E-1,-1.634452939E0
4.573636542E0,-1.132937312E0,2.933029532E-1,-1.912372828E0
4.593638542E0,-5.318604112E-1,9.720419645E-1,-2.115763903E0
4.613641542E0,1.683682650E-1,1.412286758E0,-2.079113960E0
4.633643542E0,5.303868651E-1,1.646626353E0,-1.920482516E0
4.653646542E0,5.213058591E-1,1.544717312E0,-1.897832513E0
4.673648542E0,2.898725867E-1,1.069813490E0,-1.944283724E0
