"Time (s)","Illuminance (lx)"
2.256003231E1,4.000000000E0
2.267134724E1,4.000000000E0
2.278090649E1,4.000000000E0
2.289087874E1,4.000000000E0
2.300029363E1,4.000000000E0
2.311002623E1,4.000000000E0
2.321841640E1,4.000000000E0
2.332849822E1,4.000000000E0
2.343962744E1,4.000000000E0
2.354903885E1,4.000000000E0
2.365855479E1,4.000000000E0
2.376815859E1,4.000000000E0
2.387634249E1,4.000000000E0
2.398620831E1,4.000000000E0
2.409634090E1,4.000000000E0
2.420632719E1,3.000000000E0
2.431611184E1,3.000000000E0
2.442530550E1,3.000000000E0
2.453488686E1,3.000000000E0
2.464461976E1,3.000000000E0
2.475476735E1,3.000000000E0
2.486467718E1,3.000000000E0
2.497443451E1,3.000000000E0
2.508358660E1,3.000000000E0
2.519321200E1,3.000000000E0
2.530313707E1,4.000000000E0
2.541316076E1,4.000000000E0
2.552321826E1,4.000000000E0
2.563258786E1,4.000000000E0
2.574256445E1,4.000000000E0
2.585276383E1,3.000000000E0
2.596287203E1,3.000000000E0
2.607374187E1,3.000000000E0
2.618311691E1,3.000000000E0
2.629234368E1,3.000000000E0
2.640098365E1,3.000000000E0
2.651108155E1,3.000000000E0
2.662204625E1,3.000000000E0
2.673209915E1,3.000000000E0
2.684133141E1,3.000000000E0
2.695036934E1,3.000000000E0
2.705904899E1,3.000000000E0
2.716907330E1,3.000000000E0
2.727917666E1,3.000000000E0
2.738788835E1,3.000000000E0
2.749827630E1,3.000000000E0
2.760841919E1,3.000000000E0
2.771771673E1,3.000000000E0
2.782669347E1,3.000000000E0
2.793677052E1,3.000000000E0
2.804628060E1,3.000000000E0
2.815642560E1,3.000000000E0
2.826569012E1,3.000000000E0
2.837512739E1,3.000000000E0
2.848509964E1,3.000000000E0
2.859515444E1,3.000000000E0
2.870535439E1,3.000000000E0
2.881417880E1,3.000000000E0
2.892417974E1,2.000000000E0
2.903365795E1,1.000000000E0
2.914377261E1,1.000000000E0
2.925354524E1,1.000000000E0
2.936372335E1,0.000000000E0
2.947284542E1,0.000000000E0
2.958315131E1,0.000000000E0
2.969302826E1,0.000000000E0
2.980343229E1,0.000000000E0
2.991328611E1,0.000000000E0
3.002356836E1,0.000000000E0
3.013277234E1,0.000000000E0
3.024160036E1,0.000000000E0
3.035118773E1,0.000000000E0
3.046244298E1,0.000000000E0
3.057207352E1,0.000000000E0
3.068137534E1,0.000000000E0
3.079106544E1,0.000000000E0
3.089921416E1,0.000000000E0
3.101087869E1,0.000000000E0
3.112107812E1,0.000000000E0
3.122992141E1,0.000000000E0
3.133916575E1,0.000000000E0
3.144879902E1,0.000000000E0
3.155709844E1,0.000000000E0
3.166706681E1,0.000000000E0
3.177711811E1,0.000000000E0
3.188629790E1,0.000000000E0
3.199606306E1,0.000000000E0
3.210563690E1,0.000000000E0
3.221540485E1,0.000000000E0
3.232551808E1,0.000000000E0
3.243565388E1,0.000000000E0
3.254579622E1,1.000000000E0
3.265558272E1,1.000000000E0
3.276460956E1,0.000000000E0
3.287396801E1,0.000000000E0
3.298392156E1,0.000000000E0
3.309399838E1,0.000000000E0
3.320412642E1,1.000000000E0
3.331327722E1,0.000000000E0
3.342333479E1,0.000000000E0
3.353374435E1,0.000000000E0
3.364350642E1,0.000000000E0
3.375356619E1,1.000000000E0
3.386351719E1,0.000000000E0
3.397290924E1,0.000000000E0
3.408219687E1,0.000000000E0
3.419298725E1,0.000000000E0
3.430235478E1,0.000000000E0
3.441250762E1,0.000000000E0
3.452319070E1,0.000000000E0
3.463267097E1,0.000000000E0
3.474205925E1,0.000000000E0
3.485199690E1,1.000000000E0
3.496024921E1,0.000000000E0
3.507018864E1,1.000000000E0
3.518167725E1,0.000000000E0
3.529179973E1,0.000000000E0
3.540031167E1,0.000000000E0
3.551003783E1,1.000000000E0
3.561866739E1,0.000000000E0
3.572855068E1,0.000000000E0
3.583967779E1,0.000000000E0
3.594896438E1,0.000000000E0
3.605870010E1,0.000000000E0
3.616848305E1,0.000000000E0
3.627654270E1,0.000000000E0
3.638628428E1,0.000000000E0
3.649637046E1,1.000000000E0
3.660655483E1,0.000000000E0
3.671635080E1,1.000000000E0
3.682601598E1,0.000000000E0
3.693497667E1,0.000000000E0
3.704477284E1,0.000000000E0
3.715484732E1,0.000000000E0
3.726434190E1,0.000000000E0
3.737471291E1,0.000000000E0
3.748379933E1,0.000000000E0
3.759325127E1,0.000000000E0
