"Time (s)","Pressure (hPa)"
6.866571482E1,1.015139954E3
6.870824133E1,1.015128723E3
6.874568930E1,1.015128723E3
6.878568940E1,1.015104980E3
6.882568920E1,1.015088745E3
6.886568003E1,1.015117493E3
6.890569024E1,1.015169983E3
6.894568102E1,1.015181213E3
6.898568519E1,1.015132507E3
6.902570242E1,1.015119995E3
6.906569357E1,1.015171204E3
6.910569519E1,1.015111206E3
6.914568920E1,1.015106201E3
6.918569013E1,1.015107483E3
6.922569050E1,1.015143738E3
6.926569550E1,1.015141235E3
6.930568982E1,1.015133728E3
6.934568935E1,1.015122498E3
6.938568154E1,1.015113708E3
6.942568154E1,1.015122498E3
6.946568920E1,1.015101257E3
6.950569081E1,1.015172485E3
6.954569399E1,1.015142456E3
6.958568946E1,1.015123718E3
6.962568987E1,1.015125000E3
6.966569008E1,1.015139954E3
6.970568529E1,1.015143738E3
6.974568894E1,1.015108704E3
6.978569071E1,1.015109985E3
6.982568206E1,1.015117493E3
6.986568071E1,1.015101257E3
6.990570675E1,1.015056213E3
6.994569019E1,1.015082458E3
6.998569107E1,1.015128723E3
7.002568961E1,1.015066223E3
7.006568998E1,1.015071228E3
7.010569092E1,1.015070007E3
7.014568961E1,1.015122498E3
7.018576289E1,1.015097473E3
7.022568149E1,1.015073730E3
7.026568107E1,1.015122498E3
7.030568133E1,1.015137451E3
7.034571232E1,1.015061218E3
7.038569175E1,1.015087463E3
7.042569159E1,1.015127502E3
7.046568972E1,1.015101257E3
7.050569935E1,1.015008728E3
7.054571894E1,1.015088745E3
7.058571862E1,1.015096252E3
7.062569727E1,1.015083740E3
7.066571060E1,1.015198730E3
7.070954711E1,1.015142456E3
7.074568092E1,1.015142456E3
7.078569144E1,1.015119995E3
7.082569289E1,1.015113708E3
7.086569024E1,1.015113708E3
7.090569571E1,1.015063721E3
7.094569196E1,1.015072449E3
7.098568112E1,1.015079956E3
7.102568951E1,1.015062500E3
7.106570295E1,1.015082458E3
7.110568128E1,1.015159973E3
7.114568560E1,1.015101257E3
7.118568649E1,1.015132507E3
7.122570763E1,1.015131226E3
7.126571118E1,1.015162476E3
7.130570456E1,1.015103699E3
7.134572357E1,1.015046204E3
7.138568941E1,1.015122498E3
7.142569987E1,1.015132507E3
7.146569753E1,1.015179993E3
7.150570253E1,1.015153748E3
7.154569826E1,1.015139954E3
7.158568112E1,1.015157471E3
7.162568237E1,1.015171204E3
7.166568972E1,1.015082458E3
7.171062956E1,1.015116211E3
7.174572342E1,1.015116211E3
7.178571029E1,1.015119995E3
7.182571847E1,1.015149963E3
7.186572352E1,1.015121216E3
7.190570534E1,1.015122498E3
7.194568086E1,1.015139954E3
7.198568118E1,1.015166199E3
7.202568138E1,1.015126221E3
7.206568409E1,1.015128723E3
7.210569217E1,1.015131226E3
