"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.484253958E0,1.125926208E1,-2.529490662E1,-3.731321716E1
2.504270958E0,1.127278137E1,-2.507356262E1,-3.665217590E1
2.524287958E0,1.107264709E1,-2.498396301E1,-3.705155945E1
2.544304958E0,1.132511902E1,-2.457984924E1,-3.745599365E1
2.564315458E0,1.132872009E1,-2.386335754E1,-3.793807983E1
2.584332458E0,1.121357727E1,-2.415861511E1,-3.800093079E1
2.604349458E0,1.123773193E1,-2.423400879E1,-3.808122253E1
2.624365458E0,1.144082642E1,-2.455432129E1,-3.747183228E1
2.644382458E0,1.130393982E1,-2.471015930E1,-3.765376282E1
2.664399458E0,1.114179993E1,-2.469992065E1,-3.778053284E1
2.684416458E0,1.116290283E1,-2.502508545E1,-3.743725586E1
2.704432458E0,1.063510132E1,-2.506221008E1,-3.778065491E1
2.724449458E0,1.053489685E1,-2.500079346E1,-3.734350586E1
2.744466458E0,1.029948425E1,-2.481970215E1,-3.754985046E1
2.764483458E0,1.057775879E1,-2.478823853E1,-3.721154785E1
2.784499458E0,1.079988098E1,-2.516323853E1,-3.708355713E1
2.804516458E0,1.135766602E1,-2.544522095E1,-3.662843323E1
2.824533458E0,1.162658691E1,-2.589077759E1,-3.646911621E1
2.844550458E0,1.166297913E1,-2.585798645E1,-3.662333679E1
2.864566458E0,1.192286682E1,-2.595539856E1,-3.635507202E1
2.884583458E0,1.206457520E1,-2.627319336E1,-3.589103699E1
2.904600458E0,1.169216919E1,-2.635581970E1,-3.609269714E1
2.924617458E0,1.148941040E1,-2.641917419E1,-3.614984131E1
2.944633458E0,1.128733826E1,-2.670346069E1,-3.609675598E1
2.964650458E0,1.098390198E1,-2.707214355E1,-3.576707458E1
2.984667458E0,1.092565918E1,-2.741464233E1,-3.563098145E1
3.004683458E0,1.113514709E1,-2.745875549E1,-3.514076233E1
3.024700458E0,1.127001953E1,-2.740808105E1,-3.513175964E1
3.044717458E0,1.181271362E1,-2.728744507E1,-3.472151184E1
3.064734458E0,1.246205139E1,-2.675268555E1,-3.542497253E1
3.084750458E0,1.323756409E1,-2.585415649E1,-3.574099731E1
3.104767458E0,1.371043396E1,-2.537489319E1,-3.595938110E1
3.124784458E0,1.429447937E1,-2.526481628E1,-3.574003601E1
3.144801458E0,1.501701355E1,-2.587019348E1,-3.492277527E1
3.164817458E0,1.558123779E1,-2.624156189E1,-3.440893555E1
3.184834458E0,1.555006409E1,-2.626007080E1,-3.428912354E1
3.204851458E0,1.524874878E1,-2.604685974E1,-3.491065979E1
3.224868458E0,1.480552673E1,-2.610488892E1,-3.475698853E1
3.244885458E0,1.437187195E1,-2.650013733E1,-3.523890686E1
3.264901458E0,1.397067261E1,-2.644985962E1,-3.501863098E1
3.284918458E0,1.355892944E1,-2.659556580E1,-3.504510498E1
3.304935458E0,1.343611145E1,-2.679873657E1,-3.475239563E1
3.324952458E0,1.325923157E1,-2.684165955E1,-3.476843262E1
3.344968458E0,1.371266174E1,-2.719897461E1,-3.479266357E1
3.364985458E0,1.387722778E1,-2.689894104E1,-3.439205933E1
3.385002458E0,1.411833191E1,-2.689512634E1,-3.404170227E1
3.405019458E0,1.457760620E1,-2.691624451E1,-3.412414551E1
3.425035458E0,1.502072144E1,-2.681690979E1,-3.428875732E1
3.445052458E0,1.511389160E1,-2.666259766E1,-3.441845703E1
3.465069458E0,1.488160706E1,-2.644543457E1,-3.428388977E1
3.485086458E0,1.440408325E1,-2.635734558E1,-3.460893250E1
3.505102458E0,1.427615356E1,-2.656169128E1,-3.473684692E1
3.525119458E0,1.382125854E1,-2.692126465E1,-3.459187317E1
3.545136458E0,1.362907410E1,-2.680757141E1,-3.456875610E1
3.565154083E0,1.349520874E1,-2.652064514E1,-3.434645081E1
3.585170083E0,1.398118591E1,-2.635960388E1,-3.474664307E1
3.605187083E0,1.415196228E1,-2.582841492E1,-3.491111755E1
3.625204083E0,1.447048950E1,-2.553532410E1,-3.521075439E1
3.645221083E0,1.414950562E1,-2.526614380E1,-3.506889343E1
3.665238083E0,1.407170105E1,-2.493011475E1,-3.549148560E1
3.685254083E0,1.401156616E1,-2.458406067E1,-3.552308655E1
3.705271083E0,1.392543030E1,-2.468225098E1,-3.582554626E1
3.725288083E0,1.402728271E1,-2.483241272E1,-3.565582275E1
3.745305083E0,1.386373901E1,-2.456347656E1,-3.611338806E1
3.765321083E0,1.405265808E1,-2.458584595E1,-3.625030518E1
3.785338083E0,1.388900757E1,-2.424577332E1,-3.572160339E1
3.805355083E0,1.413876343E1,-2.382939148E1,-3.622036743E1
3.825372083E0,1.422621155E1,-2.315744019E1,-3.664282227E1
3.845389083E0,1.404087830E1,-2.260682678E1,-3.639700317E1
3.865405083E0,1.405406189E1,-2.260740662E1,-3.648591614E1
3.885422083E0,1.372082520E1,-2.275067139E1,-3.722210693E1
3.905439083E0,1.338360596E1,-2.258364868E1,-3.700286865E1
3.925456083E0,1.317330933E1,-2.274873352E1,-3.706985474E1
3.945472083E0,1.295977783E1,-2.265834045E1,-3.736775208E1
3.965489083E0,1.271994019E1,-2.240931702E1,-3.758889771E1
3.985506083E0,1.250950623E1,-2.205964661E1,-3.782908630E1
4.005523083E0,1.245939636E1,-2.171282959E1,-3.808320618E1
4.025540083E0,1.223428345E1,-2.149845886E1,-3.835980225E1
4.045556083E0,1.185136414E1,-2.146556091E1,-3.813917542E1
4.065573083E0,1.169985962E1,-2.151043701E1,-3.838963318E1
4.085590083E0,1.225373840E1,-2.221597290E1,-3.749781799E1
4.105607083E0,1.191195679E1,-2.275093079E1,-3.777215576E1
4.125624083E0,1.203459167E1,-2.315861511E1,-3.730192566E1
4.145640083E0,1.134088135E1,-2.372004700E1,-3.726774597E1
4.165657083E0,1.124836731E1,-2.413887024E1,-3.725086975E1
4.185674083E0,1.098001099E1,-2.451559448E1,-3.657397461E1
4.205691083E0,1.138980103E1,-2.492135620E1,-3.655632019E1
4.225707083E0,1.139125061E1,-2.490893555E1,-3.611401367E1
4.245724083E0,1.163461304E1,-2.515829468E1,-3.627520752E1
4.265741083E0,1.208815002E1,-2.520446777E1,-3.600570679E1
4.285758083E0,1.281257629E1,-2.513404846E1,-3.562330627E1
4.305775083E0,1.322636414E1,-2.513388062E1,-3.565653992E1
4.325791083E0,1.328753662E1,-2.519552612E1,-3.585623169E1
4.345808083E0,1.276019287E1,-2.527482605E1,-3.619160461E1
4.365825083E0,1.263935852E1,-2.537045288E1,-3.592535400E1
4.385842083E0,1.257359314E1,-2.528251648E1,-3.568959045E1
4.405859083E0,1.236167908E1,-2.550221252E1,-3.581059265E1
4.425875083E0,1.309085083E1,-2.531195068E1,-3.563854980E1
4.445892083E0,1.382440186E1,-2.496742249E1,-3.512738037E1
4.465909083E0,1.468522644E1,-2.518766785E1,-3.549536133E1
4.485926083E0,1.530383301E1,-2.509321594E1,-3.524198914E1
4.505943083E0,1.582635498E1,-2.512992859E1,-3.506500244E1
4.525959083E0,1.622749329E1,-2.505845642E1,-3.473606873E1
4.545976083E0,1.623736572E1,-2.478262329E1,-3.454078674E1
4.565992583E0,1.664440918E1,-2.527212524E1,-3.453717041E1
4.586009583E0,1.706120300E1,-2.543861389E1,-3.403340149E1
4.606026583E0,1.704864502E1,-2.570640564E1,-3.357319641E1
4.626042583E0,1.752615356E1,-2.583619690E1,-3.378135681E1
4.646059583E0,1.771484375E1,-2.574107361E1,-3.311456299E1
4.666076583E0,1.786558533E1,-2.546858215E1,-3.351995850E1
4.686093583E0,1.774044800E1,-2.522666931E1,-3.382907104E1
4.706110583E0,1.770562744E1,-2.512947083E1,-3.391145325E1
4.726127583E0,1.747250366E1,-2.497677612E1,-3.401629639E1
4.746143583E0,1.727693176E1,-2.452149963E1,-3.454850769E1
4.766160583E0,1.688928223E1,-2.410258484E1,-3.475726318E1
4.786177583E0,1.685128784E1,-2.409397888E1,-3.500445557E1
4.806194583E0,1.698069763E1,-2.416130066E1,-3.533808899E1
4.826211583E0,1.706675720E1,-2.456291199E1,-3.485583496E1
4.846227583E0,1.718293762E1,-2.474114990E1,-3.469143677E1
4.866244583E0,1.739176941E1,-2.491154480E1,-3.455929565E1
4.886261583E0,1.692903137E1,-2.508058167E1,-3.451611328E1
4.906278583E0,1.680036926E1,-2.473550415E1,-3.435075378E1
4.926295583E0,1.683425903E1,-2.470742798E1,-3.474201965E1
4.946311583E0,1.698147583E1,-2.479640198E1,-3.511955261E1
4.966328583E0,1.666923523E1,-2.454252625E1,-3.486936951E1
4.986345583E0,1.656982422E1,-2.447746277E1,-3.476788330E1
5.006362583E0,1.640205383E1,-2.450935364E1,-3.485003662E1
5.026379583E0,1.639657593E1,-2.446766663E1,-3.471055603E1
5.046395583E0,1.631959534E1,-2.406951904E1,-3.525111389E1
5.066412583E0,1.653475952E1,-2.363555908E1,-3.559724426E1
5.086429583E0,1.642213440E1,-2.351574707E1,-3.563259888E1
5.106446583E0,1.634266663E1,-2.290687561E1,-3.597169495E1
5.126463583E0,1.602395630E1,-2.253480530E1,-3.605802917E1
5.146480583E0,1.583805847E1,-2.257183838E1,-3.615472412E1
5.166496583E0,1.554237366E1,-2.273956299E1,-3.622879028E1
5.186513583E0,1.542066956E1,-2.293948364E1,-3.613223267E1
5.206530583E0,1.523414612E1,-2.310868835E1,-3.649064636E1
5.226547583E0,1.514852905E1,-2.338616943E1,-3.606614685E1
5.246564583E0,1.490046692E1,-2.378683472E1,-3.591287231E1
5.266580583E0,1.517744446E1,-2.427731323E1,-3.571520996E1
5.286597583E0,1.575929260E1,-2.433569336E1,-3.511845398E1
5.306614583E0,1.519395447E1,-2.443148804E1,-3.524755859E1
5.326631583E0,1.519934082E1,-2.478149414E1,-3.487976074E1
5.346648583E0,1.491604614E1,-2.533445740E1,-3.493847656E1
5.366665583E0,1.460952759E1,-2.617916870E1,-3.392089844E1
5.386681583E0,1.463316345E1,-2.688623047E1,-3.347505188E1
5.406698583E0,1.444001770E1,-2.653286743E1,-3.409730530E1
5.426715583E0,1.447853088E1,-2.596069336E1,-3.444911194E1
5.446732583E0,1.406925964E1,-2.584007263E1,-3.474485779E1
5.466749583E0,1.411395264E1,-2.570706177E1,-3.479902649E1
5.486766583E0,1.430271912E1,-2.519168091E1,-3.504563904E1
5.506782583E0,1.436178589E1,-2.471264648E1,-3.550859070E1
5.526799583E0,1.440722656E1,-2.441348267E1,-3.602737427E1
5.546816583E0,1.461453247E1,-2.448913574E1,-3.596768188E1
5.566837458E0,1.484997559E1,-2.446609497E1,-3.595828247E1
5.586854458E0,1.501226807E1,-2.420033264E1,-3.556997681E1
5.606871458E0,1.479278564E1,-2.371330261E1,-3.586866760E1
5.626887458E0,1.489237976E1,-2.384111023E1,-3.599093628E1
5.646904458E0,1.455967712E1,-2.383685303E1,-3.606452942E1
5.666921458E0,1.465174866E1,-2.410049438E1,-3.600315857E1
5.686938458E0,1.471865845E1,-2.425778198E1,-3.597540283E1
5.706955458E0,1.393467712E1,-2.431304932E1,-3.620104980E1
5.726972458E0,1.407366943E1,-2.457167053E1,-3.604940796E1
5.746988458E0,1.358428955E1,-2.468614197E1,-3.574069214E1
5.767005458E0,1.364443970E1,-2.439576721E1,-3.576638794E1
5.787022458E0,1.355323792E1,-2.418955994E1,-3.649327087E1
5.807039458E0,1.302832031E1,-2.384191895E1,-3.683926392E1
5.827056458E0,1.267518616E1,-2.325842285E1,-3.754736328E1
5.847073458E0,1.200520325E1,-2.258184814E1,-3.772189331E1
5.867089458E0,1.157806396E1,-2.207044983E1,-3.862612915E1
