"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.959799814E1,3.211717543E1,1.189566278E2,2.053272428E1,1.046466345E0,2.564677043E2,5.041271492E0,5.041271492E0
7.059792578E1,3.211717334E1,1.189566111E2,2.055051083E1,1.204630056E0,2.587900188E2,5.052234149E0,5.052234149E0
7.159785569E1,3.211716882E1,1.189565998E2,2.055127944E1,1.115344366E0,2.547698798E2,5.040973924E0,5.040973924E0
7.259779012E1,3.211716230E1,1.189565846E2,2.063964978E1,1.197924250E0,2.529221680E2,5.052332845E0,5.052332845E0
7.359772778E1,3.211715472E1,1.189565685E2,2.051007044E1,1.282651995E0,2.478188422E2,5.051642478E0,5.051642478E0
7.459766877E1,3.211715251E1,1.189565530E2,2.059019214E1,1.253213526E0,2.500460459E2,5.052390854E0,5.052390854E0
7.559761226E1,3.211715114E1,1.189565355E2,2.042354039E1,1.224895460E0,2.522904124E2,5.052392831E0,5.052392831E0
7.659755981E1,3.211715137E1,1.189565198E2,2.051386462E1,1.129620755E0,2.553243203E2,5.051385724E0,5.051385724E0
7.759750879E1,3.211714941E1,1.189565046E2,2.043034323E1,1.092917679E0,2.557814692E2,5.042383409E0,5.042383409E0
7.859746170E1,3.211714589E1,1.189564875E2,2.046242722E1,1.172353978E0,2.542589294E2,5.031145278E0,5.031145278E0
7.959741545E1,3.211714569E1,1.189564685E2,2.047331919E1,1.240822161E0,2.547372692E2,5.027887610E0,5.027887610E0
8.059737289E1,3.211714327E1,1.189564527E2,2.034608938E1,1.180011753E0,2.549915334E2,5.019618009E0,5.019618009E0
8.159733093E1,3.211714268E1,1.189564354E2,2.020111053E1,1.139517056E0,2.546085685E2,5.015331292E0,5.015331292E0
8.259729135E1,3.211714119E1,1.189564199E2,2.037025063E1,1.122576575E0,2.550723764E2,5.017150851E0,5.017150851E0
8.359725785E1,3.211714126E1,1.189564072E2,2.032660875E1,9.787270053E-1,2.587773617E2,5.025477316E0,5.025477316E0
8.459721804E1,3.211713763E1,1.189563956E2,2.029867088E1,9.500877840E-1,2.536140405E2,5.027489735E0,5.027489735E0
8.559718418E1,3.211713374E1,1.189563807E2,2.058487522E1,1.064269442E0,2.529450321E2,5.054378930E0,5.054378930E0
8.659715128E1,3.211712969E1,1.189563633E2,2.040137921E1,1.208686151E0,2.524797367E2,5.065345774E0,5.065345774E0
8.759711945E1,3.211712640E1,1.189563472E2,2.039076367E1,1.045850929E0,2.517580383E2,5.067423299E0,5.067423299E0
8.859708941E1,3.211712298E1,1.189563302E2,2.040281794E1,1.066173313E0,2.523619780E2,5.069072752E0,5.069072752E0
8.959706104E1,3.211711634E1,1.189563127E2,2.051408020E1,1.172808522E0,2.481292612E2,5.064664594E0,5.064664594E0
9.059703326E1,3.211710872E1,1.189562985E2,2.067865861E1,1.224253586E0,2.434452228E2,5.066917706E0,5.066917706E0
9.159700692E1,3.211710200E1,1.189562866E2,2.065010162E1,1.120926978E0,2.411122818E2,5.064566030E0,5.064566030E0
9.259698057E1,3.211709550E1,1.189562739E2,2.054336199E1,1.146471783E0,2.402361929E2,5.058818132E0,5.058818132E0
9.359695601E1,3.211708701E1,1.189562589E2,2.037019640E1,1.130006224E0,2.372508392E2,5.055254702E0,5.055254702E0
9.459693193E1,3.211707811E1,1.189562441E2,2.047866456E1,1.230572247E0,2.387150329E2,5.047686311E0,5.047686311E0
9.559690857E1,3.211706634E1,1.189562375E2,2.027713632E1,1.114245430E0,2.299946044E2,5.049333419E0,5.049333419E0
9.659688652E1,3.211705780E1,1.189562334E2,2.009587082E1,1.042994700E0,2.213577077E2,5.019405000E0,5.019405000E0
9.759686577E1,3.211704406E1,1.189562274E2,2.000409198E1,1.186055714E0,2.183249015E2,4.996835844E0,4.996835844E0
9.859684610E1,3.211702868E1,1.189562224E2,2.019008320E1,1.204958616E0,2.125082415E2,4.993722171E0,4.993722171E0
9.959682500E1,3.211701661E1,1.189562183E2,2.016876537E1,1.105977765E0,2.103972997E2,5.004651283E0,5.004651283E0
1.005968056E2,3.211700473E1,1.189562163E2,2.042085104E1,1.010805835E0,2.032116038E2,5.023405274E0,5.023405274E0
1.015967855E2,3.211699363E1,1.189562146E2,2.030799854E1,1.028353722E0,2.019948210E2,4.996433772E0,4.996433772E0
1.025967680E2,3.211698389E1,1.189562114E2,2.022428069E1,8.922055612E-1,2.048828549E2,4.995743290E0,4.995743290E0
1.035967495E2,3.211697655E1,1.189562079E2,2.030696969E1,7.903907574E-1,2.090845615E2,5.004292467E0,5.004292467E0
1.045967330E2,3.211697038E1,1.189562063E2,2.043727852E1,6.698394310E-1,2.072804287E2,5.012338303E0,5.012338303E0
1.055967150E2,3.211696565E1,1.189562051E2,2.024689403E1,5.439831118E-1,2.072944887E2,5.006281012E0,5.006281012E0
1.065966986E2,3.211695835E1,1.189561976E2,2.054921666E1,7.181399904E-1,2.130086728E2,4.997797007E0,4.997797007E0
1.075966824E2,3.211695269E1,1.189561885E2,2.068975843E1,8.020494675E-1,2.221771959E2,4.990322576E0,4.990322576E0
1.085966662E2,3.211694880E1,1.189561836E2,2.050867459E1,6.532529022E-1,2.221184936E2,4.994935472E0,4.994935472E0
1.095966513E2,3.211694528E1,1.189561758E2,2.044773275E1,5.692351734E-1,2.304743822E2,4.994024128E0,4.994024128E0
1.105966358E2,3.211694149E1,1.189561638E2,2.054589779E1,6.584136704E-1,2.385529420E2,4.992782083E0,4.992782083E0
1.115966208E2,3.211694099E1,1.189561533E2,2.049098646E1,6.846835364E-1,2.462905623E2,4.984246175E0,4.984246175E0
1.125966064E2,3.211693903E1,1.189561399E2,2.036174670E1,8.546499981E-1,2.512628422E2,4.984636717E0,4.984636717E0
1.135965915E2,3.211693956E1,1.189561272E2,2.034311878E1,9.169014953E-1,2.556282062E2,4.979825950E0,4.979825950E0
1.145965784E2,3.211693387E1,1.189561155E2,2.056381954E1,9.535736632E-1,2.513136701E2,4.981225013E0,4.981225013E0
1.155965641E2,3.211693268E1,1.189561047E2,2.036047203E1,9.092945663E-1,2.557666221E2,4.973699153E0,4.973699153E0
1.165965502E2,3.211692947E1,1.189560927E2,2.045364001E1,9.300926682E-1,2.572282430E2,4.980414700E0,4.980414700E0
1.175965362E2,3.211693030E1,1.189560824E2,2.052894351E1,8.254137882E-1,2.627041980E2,4.984200203E0,4.984200203E0
1.185965233E2,3.211693080E1,1.189560677E2,2.049857905E1,9.005731995E-1,2.658999194E2,4.988972070E0,4.988972070E0
1.195965101E2,3.211693346E1,1.189560537E2,2.050277715E1,8.731416552E-1,2.697744161E2,4.983879783E0,4.983879783E0
1.205964975E2,3.211693452E1,1.189560385E2,2.052623540E1,8.334602272E-1,2.689431345E2,4.982539540E0,4.982539540E0
1.215964848E2,3.211693531E1,1.189560285E2,2.055931453E1,7.699378562E-1,2.699160802E2,4.965300625E0,4.965300625E0
1.225964717E2,3.211693362E1,1.189560136E2,2.045335834E1,7.156723305E-1,2.694161996E2,4.974355321E0,4.974355321E0
1.235964599E2,3.211693147E1,1.189560123E2,2.058805915E1,0.000000000E0,2.695100022E2,4.981317697E0,4.981317697E0
1.245964473E2,3.211692962E1,1.189560028E2,2.071831861E1,0.000000000E0,2.695099970E2,4.994687296E0,4.994687296E0
1.255964344E2,3.211692542E1,1.189559843E2,2.068854185E1,0.000000000E0,2.695099867E2,4.998805407E0,4.998805407E0
1.265964229E2,3.211691941E1,1.189559617E2,2.066422007E1,6.554575425E-1,2.624667716E2,5.009539142E0,5.009539142E0
1.275964105E2,3.211691757E1,1.189559442E2,2.059469525E1,7.528148366E-1,2.645508341E2,5.007777879E0,5.007777879E0
1.285963984E2,3.211691751E1,1.189559275E2,2.068487076E1,4.966106757E-1,2.815610026E2,5.005528956E0,5.005528956E0
1.295963869E2,3.211691340E1,1.189559154E2,2.070480917E1,0.000000000E0,2.804699044E2,5.005481803E0,5.005481803E0
1.305963749E2,3.211690355E1,1.189558891E2,2.074885774E1,0.000000000E0,2.804698879E2,5.003462857E0,5.003462857E0
1.315963634E2,3.211689621E1,1.189558731E2,2.089838168E1,0.000000000E0,2.804698775E2,4.996322646E0,4.996322646E0
1.325963515E2,3.211689380E1,1.189558577E2,2.079025135E1,0.000000000E0,2.804698684E2,4.990012598E0,4.990012598E0
1.335963396E2,3.211688682E1,1.189558328E2,2.064838286E1,0.000000000E0,2.486036898E2,4.990478358E0,4.990478358E0
1.345963291E2,3.211688542E1,1.189558183E2,2.068015485E1,0.000000000E0,2.486036823E2,4.996477940E0,4.996477940E0
1.355974923E2,3.211688419E1,1.189558025E2,2.067193387E1,0.000000000E0,2.486036743E2,5.007059078E0,5.007059078E0
1.365975409E2,3.211688217E1,1.189557904E2,2.051035595E1,0.000000000E0,2.486036680E2,4.999540655E0,4.999540655E0
1.375976075E2,3.211687773E1,1.189557735E2,2.074493509E1,0.000000000E0,2.486036591E2,4.987888635E0,4.987888635E0
1.385976495E2,3.211687530E1,1.189557590E2,2.053662935E1,0.000000000E0,2.486036516E2,4.972367416E0,4.972367416E0
1.395977157E2,3.211687744E1,1.189557453E2,2.059548264E1,0.000000000E0,2.486036449E2,4.965781668E0,4.965781668E0
1.405977509E2,3.211687251E1,1.189557284E2,2.052569058E1,0.000000000E0,2.486036359E2,4.956801427E0,4.956801427E0
1.415978076E2,3.211687126E1,1.189557162E2,2.070608959E1,0.000000000E0,2.486036296E2,4.954372699E0,4.954372699E0
1.425978347E2,3.211686647E1,1.189557045E2,2.054833192E1,0.000000000E0,2.486036234E2,4.952786480E0,4.952786480E0
1.435978845E2,3.211686695E1,1.189556921E2,2.058574563E1,0.000000000E0,2.486036171E2,4.960795069E0,4.960795069E0
1.445979050E2,3.211686654E1,1.189556876E2,2.046406418E1,0.000000000E0,2.486036148E2,4.962435853E0,4.962435853E0
1.455979468E2,3.211686853E1,1.189556815E2,2.035257078E1,0.000000000E0,2.486036119E2,4.936387190E0,4.936387190E0
1.465979620E2,3.211686754E1,1.189556774E2,2.031201411E1,0.000000000E0,2.486036098E2,4.943958554E0,4.943958554E0
1.475979998E2,3.211686673E1,1.189556701E2,2.041060351E1,0.000000000E0,2.486036060E2,4.952010481E0,4.952010481E0
1.485980120E2,3.211686932E1,1.189556713E2,2.065776139E1,0.000000000E0,2.486036068E2,4.958307033E0,4.958307033E0
1.495980437E2,3.211686726E1,1.189556686E2,2.059689758E1,0.000000000E0,2.486036053E2,4.985501728E0,4.985501728E0
