"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.364153958E0,3.787057996E-1,-1.032633930E-1,-1.802127063E-2
2.384170958E0,2.974527180E-1,-2.012870610E-1,-1.423603445E-1
2.404187958E0,8.142666519E-2,-2.569772005E-1,-1.677692980E-1
2.424203958E0,-4.914918542E-2,-3.060201108E-1,-1.014773622E-1
2.444220958E0,-3.722568601E-2,-3.810634017E-1,-4.907354712E-2
2.464237958E0,3.517207876E-2,-3.459450901E-1,-7.958032191E-2
2.484253958E0,2.465107106E-2,-1.134166941E-1,-9.729185700E-2
2.504270958E0,-2.042628080E-1,4.872538149E-2,-1.299643219E-1
2.524287958E0,-5.039276481E-1,-3.757432848E-2,-1.790580004E-1
2.544304958E0,-5.710367560E-1,-3.944257796E-1,-1.626839042E-1
2.564315458E0,-1.303191632E-1,-3.895121217E-1,-1.237573773E-1
2.584332458E0,4.072368741E-1,-4.557366017E-3,-1.030373573E-1
2.604349458E0,4.787890315E-1,2.982579470E-1,-5.132515728E-2
2.624365458E0,1.877426505E-1,1.581061780E-1,5.218534172E-2
2.644382458E0,-9.263648652E-3,-1.736739129E-1,1.219813898E-1
2.664399458E0,1.086588763E-2,-2.942796946E-1,1.434321702E-1
2.684416458E0,6.348517537E-2,-2.191562653E-1,1.202139333E-1
2.704432458E0,-1.226107124E-2,-1.296173632E-1,2.887647599E-2
2.724449458E0,-8.616288751E-2,-1.185117960E-1,-9.962335229E-2
2.744466458E0,1.061325073E-1,-4.833370075E-2,-1.931447834E-1
2.764483458E0,4.267811775E-1,1.733188182E-1,-2.414597571E-1
2.784499458E0,5.776801705E-1,2.832078040E-1,-2.759503722E-1
2.804516458E0,5.357423425E-1,2.182766348E-1,-3.161496222E-1
2.824533458E0,4.025526345E-1,8.288900554E-2,-3.150406778E-1
2.844550458E0,2.584709525E-1,-2.570516244E-2,-2.502655983E-1
2.864566458E0,1.503911316E-1,-1.750130504E-1,-1.429707408E-1
2.884583458E0,1.315426379E-1,-2.960932553E-1,-2.398440847E-3
2.904600458E0,1.936199367E-1,-3.142378926E-1,1.440283805E-1
2.924617458E0,3.218165040E-1,-1.466343552E-1,2.128457725E-1
2.944633458E0,3.684204519E-1,2.346926183E-2,2.386248410E-1
2.964650458E0,2.639417052E-1,6.749135256E-2,2.861172557E-1
2.984667458E0,1.120899320E-1,1.017047018E-1,2.864440978E-1
3.004683458E0,5.664999597E-3,2.711016536E-1,2.020201236E-1
3.024700458E0,-1.509826928E-1,5.687291026E-1,-3.309154510E-2
3.044717458E0,-5.490981340E-1,8.860680461E-1,-3.075982034E-1
3.064734458E0,-1.013173938E0,8.384290934E-1,-3.550603390E-1
3.084750458E0,-8.619062304E-1,5.880358815E-1,-1.451771706E-1
3.104767458E0,-4.164237902E-2,6.588811874E-1,2.924399637E-2
3.124784458E0,6.769663095E-1,9.593423009E-1,3.459473699E-2
3.144801458E0,6.308379173E-1,9.472263455E-1,2.701161429E-3
3.164817458E0,7.570222020E-2,4.952281713E-1,9.793766588E-2
3.184834458E0,-2.403665483E-1,-8.296909183E-2,2.194339931E-1
3.204851458E0,-6.906334311E-2,-4.111780524E-1,2.456458211E-1
3.224868458E0,1.337338835E-1,-4.898142219E-1,2.492103577E-1
3.244885458E0,1.587967724E-1,-4.140480459E-1,2.505806684E-1
3.264901458E0,1.151293442E-1,-3.420771062E-1,2.191022635E-1
3.284918458E0,1.008960754E-1,-1.941092461E-1,1.223355010E-1
3.304935458E0,6.515350938E-2,1.903214725E-3,-1.579206437E-4
3.324952458E0,1.251993421E-2,1.994898617E-1,-8.400107175E-2
3.344968458E0,2.533530444E-2,3.483960330E-1,-7.934594154E-2
3.364985458E0,5.903395265E-2,4.750584066E-1,-5.015628040E-2
3.385002458E0,1.943480410E-2,4.882721901E-1,-6.550815701E-2
3.405019458E0,-1.190497205E-1,3.837262392E-1,-1.006165221E-1
3.425035458E0,-2.388978451E-1,1.743957102E-1,-9.915204346E-2
3.445052458E0,-1.827002019E-1,-1.208584905E-1,8.066190407E-3
3.465069458E0,1.279130206E-2,-3.055504262E-1,1.236095726E-1
3.485086458E0,1.752973050E-1,-4.146105647E-1,1.685695797E-1
3.505102458E0,2.043397576E-1,-3.596388698E-1,1.699252129E-1
3.525119458E0,3.489384800E-2,-2.086979002E-1,1.489835382E-1
