"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.605356840E2,3.211614937E1,1.189511924E2,1.624035243E1,1.099391358E0,1.602972915E2,4.918791225E0,4.918791225E0
1.615356334E2,3.211613955E1,1.189512067E2,1.628657182E1,1.176961057E0,1.515879806E2,4.904503119E0,4.904503119E0
1.625355700E2,3.211613529E1,1.189512131E2,1.628952587E1,1.067718078E0,1.579601736E2,4.904701258E0,4.904701258E0
1.635355256E2,3.211612746E1,1.189512228E2,1.619987470E1,1.040805204E0,1.546039221E2,4.896232415E0,4.896232415E0
1.645354676E2,3.211611799E1,1.189512317E2,1.612364938E1,1.045236759E0,1.519290784E2,4.900595331E0,4.900595331E0
1.655354162E2,3.211610630E1,1.189512378E2,1.569576300E1,1.124818895E0,1.558625634E2,4.904601009E0,4.904601009E0
1.665353668E2,3.211610237E1,1.189512514E2,1.580763140E1,1.010361918E0,1.450992266E2,4.914933500E0,4.914933500E0
1.675353222E2,3.211608983E1,1.189512666E2,1.603230608E1,1.256090740E0,1.412647349E2,4.932334714E0,4.932334714E0
1.685352817E2,3.211608486E1,1.189512756E2,1.611844330E1,9.745219118E-1,1.359423131E2,4.920058194E0,4.920058194E0
1.695352460E2,3.211607588E1,1.189512855E2,1.592704071E1,9.601754276E-1,1.381275599E2,4.914632917E0,4.914632917E0
1.705352125E2,3.211607007E1,1.189512960E2,1.599490189E1,1.102368311E0,1.391240923E2,4.905191327E0,4.905191327E0
1.715351826E2,3.211605933E1,1.189513050E2,1.612025404E1,1.215152898E0,1.440126564E2,4.901612221E0,4.901612221E0
1.725351554E2,3.211604584E1,1.189513042E2,1.607008200E1,1.212723019E0,1.526450235E2,4.899072304E0,4.899072304E0
1.735351320E2,3.211602992E1,1.189513080E2,1.605116902E1,1.269731279E0,1.583501029E2,4.903668539E0,4.903668539E0
1.745351109E2,3.211601801E1,1.189513102E2,1.611151766E1,1.178445287E0,1.602698760E2,4.902080767E0,4.902080767E0
1.755350920E2,3.211600655E1,1.189513199E2,1.619967156E1,1.196243949E0,1.534936599E2,4.901229531E0,4.901229531E0
1.765350749E2,3.211599154E1,1.189513246E2,1.607464833E1,1.258701483E0,1.558933548E2,4.901124668E0,4.901124668E0
1.775350617E2,3.211597821E1,1.189513328E2,1.596426381E1,1.247679150E0,1.539222857E2,4.887094298E0,4.887094298E0
1.785350499E2,3.211596558E1,1.189513435E2,1.636592425E1,1.385210132E0,1.454223803E2,4.884979849E0,4.884979849E0
1.795350393E2,3.211595253E1,1.189513528E2,1.629548456E1,1.383214479E0,1.448473663E2,4.878682083E0,4.878682083E0
1.805350310E2,3.211594401E1,1.189513610E2,1.619414621E1,1.178303843E0,1.391468725E2,4.887396407E0,4.887396407E0
1.815350242E2,3.211593392E1,1.189513723E2,1.592630544E1,1.229474498E0,1.375648040E2,4.901596575E0,4.901596575E0
1.825350189E2,3.211592261E1,1.189513812E2,1.617943942E1,1.191746274E0,1.439946255E2,4.901885793E0,4.901885793E0
1.835350161E2,3.211590968E1,1.189513909E2,1.604555976E1,1.281675577E0,1.447374300E2,4.907662066E0,4.907662066E0
1.845350139E2,3.211589710E1,1.189513984E2,1.613319414E1,1.254811821E0,1.463430619E2,4.908508878E0,4.908508878E0
1.855350125E2,3.211588405E1,1.189514065E2,1.614283831E1,1.119343737E0,1.437201495E2,4.913432620E0,4.913432620E0
1.865350131E2,3.211587379E1,1.189514102E2,1.610300533E1,9.541430861E-1,1.493779702E2,4.914917693E0,4.914917693E0
1.875350139E2,3.211586273E1,1.189514222E2,1.583733266E1,1.024790113E0,1.428349217E2,4.917351012E0,4.917351012E0
1.885350169E2,3.211585002E1,1.189514316E2,1.592183120E1,1.059464479E0,1.430725094E2,4.917193582E0,4.917193582E0
1.895350207E2,3.211583582E1,1.189514430E2,1.606049183E1,1.295382842E0,1.425344502E2,4.926591167E0,4.926591167E0
1.905350251E2,3.211582819E1,1.189514542E2,1.610288953E1,1.254300796E0,1.380463417E2,4.926705316E0,4.926705316E0
1.915350314E2,3.211582293E1,1.189514677E2,1.611793535E1,1.341045682E0,1.298003316E2,4.930506614E0,4.930506614E0
1.925350381E2,3.211581521E1,1.189514744E2,1.602492374E1,1.205845279E0,1.346580107E2,4.929713743E0,4.929713743E0
1.935350445E2,3.211580811E1,1.189514870E2,1.593597201E1,1.242641211E0,1.363060557E2,4.933438853E0,4.933438853E0
1.945350516E2,3.211579765E1,1.189514998E2,1.590998649E1,1.345393801E0,1.354202544E2,4.936794854E0,4.936794854E0
1.955350610E2,3.211579186E1,1.189515116E2,1.574903222E1,1.289479445E0,1.331938008E2,4.949695713E0,4.949695713E0
1.965350703E2,3.211578595E1,1.189515228E2,1.581920948E1,1.242016889E0,1.326721489E2,4.957182133E0,4.957182133E0
1.975350799E2,3.211577487E1,1.189515374E2,1.583588837E1,1.472438078E0,1.331428532E2,4.957930489E0,4.957930489E0
1.985350900E2,3.211576385E1,1.189515467E2,1.592418190E1,1.390339429E0,1.372822401E2,4.960873055E0,4.960873055E0
1.995351010E2,3.211575447E1,1.189515516E2,1.575926848E1,1.101909937E0,1.381504093E2,4.976014081E0,4.976014081E0
2.005351143E2,3.211574569E1,1.189515617E2,1.565114767E1,1.174829903E0,1.375896448E2,4.988500346E0,4.988500346E0
2.015351242E2,3.211573519E1,1.189515702E2,1.578072656E1,1.162566120E0,1.391989074E2,4.992219590E0,4.992219590E0
2.025351368E2,3.211572162E1,1.189515781E2,1.582339570E1,1.166141314E0,1.417688025E2,4.974314701E0,4.974314701E0
2.035351508E2,3.211570793E1,1.189515888E2,1.582130955E1,1.224336832E0,1.394410600E2,4.982920051E0,4.982920051E0
2.045351627E2,3.211569562E1,1.189515997E2,1.584867239E1,1.273238031E0,1.403787715E2,4.973425375E0,4.973425375E0
2.055351770E2,3.211568435E1,1.189516118E2,1.577638134E1,1.274261352E0,1.377348186E2,4.985343340E0,4.985343340E0
2.065351913E2,3.211567666E1,1.189516166E2,1.538141187E1,9.643571440E-1,1.377660081E2,4.997504409E0,4.997504409E0
2.075352051E2,3.211567266E1,1.189516286E2,1.590028431E1,1.046032560E0,1.324991260E2,4.959130442E0,4.959130442E0
2.085352188E2,3.211566125E1,1.189516521E2,1.598079032E1,1.581645599E0,1.322352951E2,4.939517107E0,4.939517107E0
2.095352342E2,3.211565124E1,1.189516670E2,1.617887259E1,1.519628842E0,1.341338464E2,4.921138541E0,4.921138541E0
2.105352501E2,3.211564335E1,1.189516859E2,1.594767640E1,1.567872696E0,1.305125070E2,4.911712717E0,4.911712717E0
2.115352644E2,3.211563126E1,1.189516994E2,1.610109259E1,1.512767562E0,1.313923018E2,4.899095220E0,4.899095220E0
2.125352805E2,3.211561615E1,1.189517102E2,1.613294876E1,1.554513047E0,1.335978736E2,4.890890850E0,4.890890850E0
2.135352962E2,3.211560993E1,1.189517257E2,1.644770080E1,1.515939597E0,1.297362232E2,4.880899103E0,4.880899103E0
2.145353120E2,3.211559439E1,1.189517346E2,1.641313996E1,1.487799029E0,1.347640825E2,4.881186122E0,4.881186122E0
2.155353283E2,3.211557964E1,1.189517423E2,1.629588301E1,1.448868227E0,1.389439392E2,4.887439088E0,4.887439088E0
2.165353444E2,3.211556572E1,1.189517449E2,1.610434225E1,1.406045127E0,1.443808982E2,4.905586778E0,4.905586778E0
