"Time (s)","X (hPa)"
3.467395349E2,1.015530548E3
3.476712509E2,1.015531006E3
3.486028909E2,1.015532837E3
3.495345509E2,1.015535126E3
3.504661459E2,1.015535126E3
3.513976889E2,1.015535660E3
3.523292099E2,1.015537415E3
3.532607359E2,1.015538940E3
3.541922309E2,1.015540695E3
3.551237009E2,1.015542374E3
3.560550739E2,1.015544434E3
3.569864679E2,1.015546265E3
3.579179809E2,1.015547562E3
3.588494889E2,1.015549240E3
3.597809039E2,1.015549393E3
3.607123089E2,1.015549393E3
3.616437599E2,1.015548096E3
3.625751989E2,1.015547562E3
3.635066909E2,1.015545731E3
3.644381559E2,1.015543747E3
3.653696019E2,1.015542831E3
3.663011639E2,1.015542603E3
3.672326859E2,1.015541000E3
3.681641449E2,1.015541000E3
3.690956669E2,1.015541306E3
3.700272049E2,1.015542908E3
3.709588319E2,1.015542908E3
3.718903279E2,1.015542374E3
3.728218299E2,1.015542374E3
3.737534039E2,1.015543289E3
3.746848809E2,1.015544205E3
3.756164919E2,1.015545654E3
3.765480149E2,1.015547867E3
3.774794339E2,1.015549469E3
3.784107969E2,1.015555115E3
3.793422299E2,1.015556107E3
3.802736119E2,1.015558014E3
3.812050329E2,1.015558472E3
3.821364839E2,1.015558472E3
3.830678099E2,1.015557861E3
3.839991669E2,1.015557861E3
3.849305169E2,1.015559082E3
3.858617509E2,1.015559082E3
3.867930989E2,1.015559311E3
3.877243559E2,1.015559311E3
3.886556849E2,1.015562057E3
3.895869309E2,1.015564194E3
3.905182469E2,1.015566483E3
3.914496279E2,1.015568314E3
3.923810549E2,1.015569916E3
3.933124199E2,1.015570602E3
3.942437009E2,1.015572662E3
3.951749239E2,1.015574112E3
3.961061619E2,1.015575256E3
3.970375479E2,1.015575256E3
3.979689519E2,1.015575256E3
3.989003789E2,1.015575256E3
3.998317199E2,1.015577087E3
4.007629229E2,1.015580139E3
4.016940869E2,1.015582962E3
4.026253299E2,1.015583954E3
4.035565739E2,1.015587387E3
4.044878939E2,1.015588531E3
4.054191249E2,1.015588531E3
4.063503089E2,1.015586853E3
4.072814869E2,1.015584717E3
4.082126809E2,1.015584564E3
4.091439569E2,1.015584259E3
4.100752259E2,1.015584259E3
4.110064909E2,1.015584106E3
4.119377829E2,1.015584106E3
4.128691379E2,1.015585403E3
4.138004499E2,1.015586243E3
4.147316859E2,1.015586243E3
4.156630289E2,1.015586243E3
4.165943729E2,1.015584641E3
4.175257029E2,1.015583572E3
4.184569779E2,1.015582962E3
4.193884209E2,1.015581818E3
4.203197819E2,1.015581818E3
4.212510979E2,1.015581970E3
4.221823519E2,1.015584641E3
4.231135809E2,1.015585709E3
4.240447669E2,1.015585709E3
4.249759809E2,1.015584412E3
4.259073509E2,1.015582962E3
4.268387879E2,1.015582962E3
4.277702219E2,1.015583878E3
4.287015469E2,1.015586319E3
4.296329929E2,1.015587921E3
4.305643199E2,1.015591125E3
4.314957679E2,1.015591812E3
4.324272029E2,1.015591965E3
4.333586709E2,1.015591965E3
4.342900169E2,1.015588531E3
4.352213289E2,1.015585556E3
4.361526059E2,1.015583801E3
4.370839639E2,1.015582504E3
4.380153339E2,1.015580368E3
4.389466469E2,1.015580139E3
4.398779999E2,1.015580368E3
4.408094089E2,1.015580750E3
4.417407449E2,1.015581207E3
4.426723089E2,1.015581207E3
4.436037479E2,1.015577850E3
4.445352629E2,1.015575867E3
4.454666139E2,1.015575867E3
4.463979699E2,1.015577164E3
4.473292889E2,1.015578308E3
4.482606339E2,1.015578690E3
4.491918669E2,1.015579758E3
4.501231459E2,1.015580444E3
4.510544119E2,1.015580444E3
4.519857739E2,1.015580444E3
