"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.720000000E0,1.228359461E0,2.194142193E-1,9.960042000E0
5.740000000E0,1.395647168E0,7.150523067E-1,9.403342247E0
5.760000000E0,8.347144723E-1,1.220889688E0,8.965328217E0
5.780000000E0,2.918435931E-1,9.736260176E-1,8.074799538E0
5.800000000E0,2.390083671E-1,9.449531436E-1,8.526288033E0
5.820000000E0,1.258200854E-1,8.896757960E-1,9.029760361E0
5.842004688E0,-5.136041716E-2,8.411884308E-1,9.199165344E0
5.864000000E0,-2.603550851E-1,6.049573421E-1,9.657855034E0
5.884000000E0,-7.700709999E-2,4.007318914E-1,9.998904228E0
5.904000000E0,-7.071514428E-2,4.265222549E-1,1.009935570E1
5.924001563E0,8.279149979E-2,8.408532143E-1,9.950943947E0
5.946000000E0,-1.259541661E-1,1.354035974E0,9.615708351E0
5.966000000E0,-8.262773156E-1,1.579617620E0,9.620208740E0
5.986000000E0,-7.311125994E-1,1.221425891E0,1.031190300E1
6.006000000E0,-5.164389014E-1,6.542012095E-1,1.132551289E1
6.026000000E0,-6.660190225E-1,8.211154342E-1,1.114238453E1
6.046000000E0,-7.969435453E-1,1.504382372E0,9.745396614E0
6.066000000E0,-2.440744936E-1,1.454937220E0,8.962790489E0
6.086000000E0,4.105481207E-1,1.438761950E0,9.109210014E0
6.106000000E0,3.871328533E-1,1.364369392E0,1.022079849E1
6.126000000E0,6.494128704E-1,9.095763564E-1,1.083124447E1
6.146000000E0,4.458099306E-1,6.001018882E-1,1.147113800E1
6.166000000E0,2.177765816E-1,3.537672386E-2,1.126354122E1
6.186000000E0,-4.904569983E-1,6.696103513E-2,1.062987232E1
6.206000000E0,-1.399669409E0,3.728442490E-1,1.050269222E1
6.226000000E0,-1.436817884E0,-9.910079837E-2,1.056455898E1
6.246000000E0,-4.528680444E-1,-2.539290190E-1,1.005863476E1
6.266000000E0,6.663733721E-1,-6.661818027E-1,1.002704144E1
6.286000000E0,1.184478641E0,-5.128571987E-1,9.372505188E0
6.306000000E0,1.021165371E0,1.577300131E-1,8.608544350E0
6.326000000E0,1.281376742E-2,3.528095782E-1,9.061546326E0
6.346000000E0,-1.043373942E0,3.309552968E-1,9.797829628E0
6.366001563E0,-1.097932935E0,2.669343352E-1,1.019711590E1
6.386001563E0,-4.231416285E-1,-3.200760484E-1,1.055302811E1
6.408042188E0,4.512208104E-1,-6.297420859E-1,1.110859776E1
6.430000000E0,5.960987806E-1,-2.786276340E-1,1.096508980E1
6.450000000E0,5.030601025E-1,2.943527102E-1,9.818065643E0
6.470000000E0,5.847406387E-1,1.189831972E0,9.032088280E0
6.490000000E0,9.516664147E-1,1.416831017E0,8.748920441E0
6.510000000E0,1.281108618E0,1.655465961E0,8.313377380E0
6.530000000E0,8.395795226E-1,1.964787245E0,7.398227215E0
6.550000000E0,5.256900787E-1,2.266054392E0,6.389683723E0
6.570000000E0,6.027642488E-1,2.180686712E0,5.577005386E0
6.590000000E0,5.930533409E-1,1.551155448E0,7.168029308E0
6.610000000E0,2.123178095E-1,1.105690241E0,9.270071030E0
6.630000000E0,-3.214934096E-2,7.506205440E-1,1.058000565E1
6.650000000E0,-2.013810873E-1,5.718790293E-1,1.147927761E1
6.670000000E0,-5.956965089E-1,6.816770881E-2,1.280240917E1
6.690001563E0,-1.012986779E0,-8.249461651E-2,1.378885841E1
6.712003125E0,-6.660956144E-1,-5.987419561E-2,1.317966938E1
6.734000000E0,-1.191546321E-1,5.478795171E-1,1.052374172E1
6.754000000E0,-6.914454699E-2,9.189807773E-1,8.693155289E0
6.774001563E0,-4.444117248E-1,4.461642802E-1,1.021491909E1
6.796001563E0,6.538085938E-1,-1.542440504E-1,1.208023262E1
6.818000000E0,1.690220237E0,-4.306211174E-1,1.168526554E1
6.838000000E0,1.729647994E0,1.578928083E-1,9.543134689E0
