"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.343318265E2,3.212029128E1,1.189499936E2,1.913865733E1,8.293382525E-1,1.027967224E2,4.216567039E0,4.216567039E0
1.353323234E2,3.212029316E1,1.189500038E2,1.920136421E1,5.577632785E-1,1.046404724E2,4.074859142E0,4.074859142E0
1.363505161E2,3.212029529E1,1.189500130E2,1.929979831E1,4.381831884E-1,1.178471680E2,4.059697628E0,4.059697628E0
1.373330864E2,3.212029463E1,1.189500223E2,1.943784585E1,5.879710317E-1,1.419438019E2,4.080494881E0,4.080494881E0
1.383336724E2,3.212028896E1,1.189500333E2,1.939099154E1,7.719321251E-1,1.676144867E2,4.025510788E0,4.025510788E0
1.393492594E2,3.212028275E1,1.189500389E2,1.929196983E1,7.578948736E-1,1.687587891E2,3.912156343E0,3.912156343E0
1.403363094E2,3.212027713E1,1.189500468E2,1.952501346E1,7.508891225E-1,1.524609222E2,3.838966370E0,3.838966370E0
1.413329630E2,3.212027273E1,1.189500569E2,1.994193067E1,7.725351453E-1,1.383421783E2,3.851948500E0,3.851948500E0
1.423458338E2,3.212026709E1,1.189500683E2,2.022788103E1,8.775387406E-1,1.214467621E2,3.749179363E0,3.749179363E0
1.433346640E2,3.212026400E1,1.189500806E2,2.032738781E1,9.516666532E-1,9.987701416E1,3.758731127E0,3.758731127E0
1.443346359E2,3.212026566E1,1.189500932E2,2.076585613E1,9.953698516E-1,8.653408813E1,3.789215088E0,3.789215088E0
1.453377182E2,3.212026688E1,1.189501068E2,2.093429419E1,8.466509581E-1,8.658123016E1,3.798840284E0,3.798840284E0
1.463273015E2,3.212026939E1,1.189501213E2,2.121277748E1,8.115321994E-1,8.042690277E1,3.747865200E0,3.747865200E0
1.473437219E2,3.212027167E1,1.189501354E2,2.152792521E1,9.222181439E-1,8.199034882E1,3.909332991E0,3.909332991E0
1.483312666E2,3.212027518E1,1.189501508E2,2.173208169E1,1.012185574E0,8.130911255E1,3.866805315E0,3.866805315E0
1.493466052E2,3.212027720E1,1.189501658E2,2.181527437E1,9.948767424E-1,8.554154968E1,3.833933353E0,3.833933353E0
1.503345047E2,3.212027982E1,1.189501798E2,2.191088561E1,9.438550472E-1,8.044763184E1,3.801635742E0,3.801635742E0
1.513374833E2,3.212028200E1,1.189501935E2,2.196573465E1,1.008173108E0,7.855898285E1,3.728319883E0,3.728319883E0
1.523446067E2,3.212028342E1,1.189502070E2,2.188688425E1,8.355084658E-1,7.918918610E1,3.538420916E0,3.538420916E0
1.533306427E2,3.212028845E1,1.189502188E2,2.180088341E1,7.631732225E-1,8.022386169E1,3.560362577E0,3.560362577E0
1.543342692E2,3.212029093E1,1.189502325E2,2.163594326E1,9.515333176E-1,8.420001221E1,3.661011934E0,3.661011934E0
1.553349870E2,3.212029396E1,1.189502467E2,2.158936387E1,1.067521214E0,7.930634308E1,3.614139080E0,3.614139080E0
1.563454729E2,3.212029693E1,1.189502617E2,2.149523965E1,1.079906106E0,7.831665802E1,3.590363979E0,3.590363979E0
1.573378208E2,3.212029863E1,1.189502765E2,2.146049482E1,1.098195672E0,8.530364227E1,3.581047058E0,3.581047058E0
1.583311760E2,3.212030304E1,1.189502894E2,2.182539057E1,1.134313464E0,9.073971558E1,3.489977598E0,3.489977598E0
1.593401140E2,3.212030555E1,1.189503028E2,2.200922933E1,1.092416167E0,1.001068420E2,3.388441563E0,3.388441563E0
1.603252989E2,3.212030438E1,1.189503123E2,2.219554333E1,9.867414236E-1,1.170041504E2,3.392385483E0,3.392385483E0
1.613414984E2,3.212030421E1,1.189503265E2,2.238838661E1,8.468023539E-1,1.169762573E2,3.509708881E0,3.509708881E0
1.623485786E2,3.212030449E1,1.189503385E2,2.259273128E1,6.984323859E-1,1.339008942E2,3.614261627E0,3.614261627E0
1.633323349E2,3.212030400E1,1.189503499E2,2.267140399E1,8.814885020E-1,1.384217682E2,3.588349581E0,3.588349581E0
1.643330515E2,3.212030034E1,1.189503608E2,2.273688571E1,1.000004888E0,1.421033173E2,3.487125397E0,3.487125397E0
1.653429166E2,3.212029440E1,1.189503721E2,2.273489677E1,1.078027487E0,1.437663574E2,3.448745012E0,3.448745012E0
1.663342297E2,3.212028617E1,1.189503816E2,2.271035125E1,1.154093862E0,1.470950470E2,3.326286793E0,3.326286793E0
1.673287781E2,3.212027668E1,1.189503913E2,2.274605779E1,1.160353303E0,1.457039185E2,3.173925638E0,3.173925638E0
1.683345005E2,3.212026936E1,1.189504022E2,2.281432625E1,1.169233561E0,1.373792114E2,3.175287485E0,3.175287485E0
1.693387984E2,3.212026219E1,1.189504106E2,2.280334099E1,1.160407424E0,1.417794647E2,3.165709496E0,3.165709496E0
1.703303885E2,3.212025336E1,1.189504207E2,2.264151417E1,1.148347616E0,1.438639069E2,3.166327477E0,3.166327477E0
1.713314567E2,3.212024557E1,1.189504298E2,2.271165761E1,1.019123197E0,1.514727631E2,3.180907011E0,3.180907011E0
1.723334031E2,3.212023968E1,1.189504418E2,2.276733429E1,1.066517234E0,1.511756134E2,3.326919556E0,3.326919556E0
1.733309864E2,3.212023322E1,1.189504546E2,2.271443998E1,1.076416254E0,1.489581299E2,3.428084135E0,3.428084135E0
1.743415328E2,3.212022837E1,1.189504653E2,2.263170461E1,1.020659447E0,1.449382935E2,3.427600145E0,3.427600145E0
1.753310422E2,3.212022420E1,1.189504756E2,2.279257903E1,9.946251512E-1,1.353979645E2,3.431177616E0,3.431177616E0
1.763320120E2,3.212021932E1,1.189504890E2,2.311423344E1,1.059664130E0,1.279873199E2,3.422164440E0,3.422164440E0
1.773337468E2,3.212021501E1,1.189505021E2,2.316208459E1,1.079833627E0,1.268850403E2,3.301212788E0,3.301212788E0
1.783283140E2,3.212021057E1,1.189505151E2,2.274241265E1,1.066176176E0,1.316699371E2,3.156737566E0,3.156737566E0
1.793443547E2,3.212020665E1,1.189505270E2,2.255961025E1,1.006155133E0,1.393368225E2,3.242565870E0,3.242565870E0
