"Time (s)","Pressure (hPa)"
1.092744600E2,1.032060059E3
1.093544600E2,1.032060547E3
1.094344600E2,1.032070801E3
1.095144600E2,1.032071777E3
1.095944600E2,1.032071777E3
1.096744600E2,1.032078125E3
1.097544600E2,1.032072754E3
1.098344600E2,1.032084961E3
1.099144600E2,1.032081543E3
1.099944600E2,1.032080566E3
1.100744600E2,1.032083008E3
1.101544600E2,1.032070312E3
1.102344600E2,1.032076172E3
1.103144600E2,1.032074219E3
1.103944600E2,1.032077637E3
1.104744600E2,1.032074707E3
1.105544616E2,1.032060059E3
1.106344600E2,1.032062988E3
1.107144600E2,1.032057617E3
1.107944600E2,1.032054688E3
1.108744600E2,1.032061523E3
1.109544616E2,1.032061035E3
1.110344600E2,1.032055664E3
1.111144600E2,1.032059082E3
1.111944600E2,1.032061523E3
1.112744600E2,1.032059570E3
1.113544600E2,1.032054688E3
1.114344600E2,1.032066406E3
1.115144600E2,1.032071777E3
1.115944600E2,1.032070312E3
1.116744600E2,1.032057129E3
1.117544600E2,1.032044434E3
1.118344600E2,1.032050781E3
1.119144600E2,1.032057129E3
1.119944600E2,1.032075195E3
1.120744600E2,1.032074219E3
1.121544600E2,1.032074219E3
1.122344600E2,1.032058594E3
1.123144600E2,1.032056152E3
1.123944600E2,1.032064941E3
1.124744600E2,1.032064941E3
1.125544600E2,1.032062500E3
1.126344600E2,1.032062012E3
1.127144600E2,1.032056152E3
1.127944600E2,1.032056641E3
1.128744616E2,1.032062500E3
1.129544616E2,1.032067871E3
1.130344616E2,1.032076660E3
1.131144616E2,1.032077148E3
1.131944616E2,1.032069824E3
1.132744616E2,1.032076172E3
1.133544616E2,1.032069336E3
1.134344616E2,1.032069824E3
1.135144600E2,1.032066406E3
1.135944600E2,1.032068848E3
1.136744616E2,1.032071777E3
1.137544616E2,1.032068359E3
1.138344600E2,1.032059570E3
1.139144616E2,1.032065918E3
1.139944616E2,1.032063965E3
1.140744616E2,1.032065918E3
1.141544616E2,1.032068848E3
1.142344616E2,1.032067383E3
1.143144600E2,1.032074707E3
1.143944616E2,1.032073242E3
1.144744616E2,1.032067871E3
1.145545022E2,1.032074219E3
1.146344616E2,1.032076172E3
1.147144616E2,1.032067383E3
1.147944616E2,1.032061523E3
1.148744600E2,1.032054688E3
1.149544616E2,1.032061523E3
1.150344616E2,1.032069336E3
1.151144616E2,1.032070801E3
1.151944616E2,1.032067383E3
1.152744616E2,1.032067383E3
1.153544616E2,1.032061035E3
1.154344600E2,1.032058105E3
1.155144616E2,1.032069824E3
1.155944600E2,1.032075684E3
1.156744616E2,1.032077637E3
1.157544616E2,1.032085938E3
1.158344616E2,1.032071777E3
1.159144616E2,1.032062988E3
1.159944600E2,1.032071777E3
1.160744600E2,1.032066406E3
1.161544600E2,1.032069824E3
1.162344616E2,1.032066895E3
1.163144600E2,1.032059570E3
1.163944616E2,1.032060547E3
1.164744600E2,1.032063965E3
1.165544616E2,1.032079102E3
1.166344616E2,1.032076660E3
1.167144600E2,1.032074707E3
1.167944600E2,1.032063965E3
1.168744600E2,1.032077637E3
1.169544616E2,1.032066406E3
1.170344600E2,1.032073730E3
1.171144600E2,1.032064941E3
1.171944616E2,1.032070312E3
1.172744616E2,1.032068359E3
1.173544616E2,1.032066406E3
1.174344600E2,1.032058594E3
1.175144616E2,1.032070312E3
1.175944600E2,1.032063965E3
1.176744616E2,1.032071777E3
1.177544616E2,1.032068848E3
1.178344616E2,1.032076172E3
1.179144616E2,1.032073730E3
1.179944616E2,1.032063965E3
1.180744616E2,1.032064941E3
1.181544600E2,1.032071289E3
1.182344616E2,1.032083008E3
1.183144600E2,1.032081055E3
1.183944600E2,1.032082031E3
1.184744616E2,1.032076660E3
1.185544616E2,1.032068848E3
1.186344616E2,1.032065918E3
1.187144616E2,1.032073730E3
1.187944616E2,1.032068359E3
1.188744600E2,1.032072266E3
1.189544616E2,1.032076172E3
1.190344616E2,1.032069824E3
1.191144600E2,1.032066895E3
1.191944616E2,1.032071289E3
1.192744600E2,1.032081543E3
1.193544600E2,1.032079102E3
1.194344600E2,1.032083984E3
1.195144600E2,1.032089355E3
1.195944600E2,1.032086914E3
1.196744600E2,1.032067871E3
1.197544600E2,1.032067871E3
1.198344600E2,1.032074219E3
1.199144600E2,1.032083008E3
1.199944600E2,1.032076660E3
1.200744600E2,1.032080566E3
1.201544600E2,1.032074707E3
1.202344600E2,1.032071777E3
1.203144600E2,1.032070801E3
1.203944600E2,1.032069336E3
1.204744600E2,1.032057617E3
1.205544616E2,1.032062500E3
1.206344600E2,1.032076172E3
1.207144600E2,1.032071777E3
1.207944600E2,1.032071777E3
1.208744600E2,1.032081543E3
1.209544600E2,1.032079590E3
1.210344600E2,1.032081543E3
1.211144616E2,1.032065430E3
1.211944600E2,1.032070312E3
1.212744600E2,1.032073242E3
1.213544600E2,1.032067383E3
1.214344616E2,1.032070801E3
1.215144600E2,1.032084473E3
1.215944600E2,1.032080566E3
1.216744600E2,1.032084961E3
1.217544600E2,1.032086914E3
1.218344600E2,1.032091309E3
1.219144600E2,1.032074707E3
1.219944600E2,1.032063965E3
1.220744600E2,1.032063965E3
1.221544600E2,1.032069336E3
1.222344584E2,1.032081543E3
1.223144600E2,1.032085449E3
1.223944600E2,1.032088867E3
1.224744600E2,1.032086914E3
1.225544600E2,1.032066406E3
1.226344600E2,1.032079590E3
1.227144600E2,1.032086426E3
1.227944600E2,1.032090332E3
1.228744600E2,1.032100098E3
1.229544600E2,1.032099609E3
1.230344600E2,1.032093750E3
1.231144600E2,1.032086914E3
1.231944600E2,1.032083496E3
1.232744600E2,1.032085449E3
1.233544616E2,1.032084473E3
1.234344600E2,1.032079102E3
1.235144600E2,1.032075195E3
1.235944600E2,1.032071777E3
1.236744600E2,1.032076172E3
1.237544600E2,1.032063965E3
1.238344600E2,1.032062012E3
1.239144600E2,1.032070312E3
1.239944600E2,1.032083984E3
1.240744600E2,1.032096191E3
1.241544600E2,1.032084473E3
1.242344600E2,1.032086426E3
1.243144600E2,1.032088867E3
1.243944600E2,1.032080566E3
1.244744600E2,1.032078125E3
1.245544600E2,1.032080078E3
1.246344600E2,1.032083008E3
1.247144600E2,1.032075684E3
1.247944600E2,1.032075195E3
1.248744600E2,1.032073730E3
1.249544600E2,1.032076660E3
1.250344600E2,1.032076172E3
1.251144600E2,1.032072754E3
1.251944584E2,1.032074707E3
1.252744600E2,1.032066406E3
1.253544616E2,1.032067383E3
1.254344600E2,1.032074707E3
1.255144600E2,1.032083984E3
1.255944600E2,1.032082520E3
1.256744600E2,1.032083008E3
