"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.859338750E0,-7.194912434E-2,-6.420202851E-1,4.631324112E-1
3.879342750E0,-1.038429961E-1,-6.914010048E-1,3.591080606E-1
3.899345750E0,-1.662473828E-1,-7.135896087E-1,2.367614806E-1
3.919347750E0,-2.087730020E-1,-5.858782530E-1,1.903503388E-1
3.939350750E0,-1.306424588E-1,-3.431952298E-1,1.317541301E-1
3.959353750E0,-5.897306651E-2,-2.488067895E-1,5.279246718E-2
3.979356750E0,-1.106060892E-1,-2.211257815E-1,2.625500225E-2
3.999359750E0,-1.608337313E-1,-3.003060520E-1,-7.653876394E-2
4.019362750E0,-1.785369664E-1,-3.555789590E-1,-2.245635092E-1
4.039365750E0,-3.719951212E-1,-3.410018981E-1,-4.150775075E-1
4.059368750E0,-8.747321963E-1,-7.570636868E-1,-6.212570667E-1
4.079371750E0,-1.309706926E0,-1.264696836E0,-8.339979649E-1
4.099374750E0,-1.346444011E0,-1.129990458E0,-9.253323674E-1
4.119377750E0,-8.889015913E-1,2.248790860E-2,-7.610080242E-1
4.139380750E0,2.557116002E-2,1.419049501E0,-8.583438396E-2
4.159383750E0,1.218290806E0,2.004335642E0,3.157667220E-1
4.179386750E0,2.190189600E0,2.330677748E0,2.245743573E-1
4.199389750E0,2.613174438E0,3.432561636E0,3.773254454E-1
4.219392750E0,3.127232790E0,5.433284760E0,9.890280962E-1
4.239395750E0,4.233449459E0,7.641234398E0,1.569244385E0
4.259398750E0,5.509706020E0,9.399014473E0,1.529636145E0
4.279401750E0,6.694250584E0,1.084934521E1,1.453289986E0
4.299404750E0,8.122651100E0,1.142498779E1,9.531546235E-1
4.319407750E0,8.614096642E0,1.195142651E1,6.251117587E-1
4.339410750E0,8.447456360E0,1.106278610E1,4.693626761E-1
4.359413750E0,7.207271576E0,8.828267097E0,3.586369455E-1
4.379416750E0,4.798017502E0,5.351740360E0,-1.507423967E-1
4.399419750E0,2.494157553E0,2.188696384E0,-8.333698511E-1
4.419422750E0,1.557553649E0,1.246486902E-1,-1.482918382E0
4.439425750E0,1.478585720E0,-5.375812650E-1,-1.226586342E0
4.459428750E0,1.333373070E0,-6.976065636E-1,-5.677911639E-1
4.479431750E0,7.916986346E-1,-9.195323586E-1,-2.687900662E-1
4.499434750E0,2.566030025E-1,-1.045911193E0,-1.569706053E-1
4.519437750E0,2.353457063E-1,-8.113482594E-1,7.517275959E-2
4.539440750E0,5.342203975E-1,-4.336087108E-1,2.654957175E-1
4.559443750E0,4.381962419E-1,-2.492736131E-1,4.191969633E-1
4.579446750E0,6.218558922E-2,-1.899681091E-1,4.820854068E-1
4.599449750E0,1.979272580E-3,1.561580598E-1,4.133237898E-1
4.619452750E0,3.120120764E-1,5.538492799E-1,3.321791291E-1
4.639455750E0,4.323627949E-1,6.745976806E-1,2.024225891E-1
4.659458750E0,-6.500956416E-1,-2.707291543E-1,-1.822125614E-1
4.679461750E0,-1.152369618E0,-6.701924205E-1,-1.079487614E-2
4.699464750E0,-6.717224121E-1,-5.093899369E-1,2.434291393E-1
4.719467750E0,3.337032348E-2,-4.277201295E-1,3.542567194E-1
4.739470750E0,1.070281565E-1,-3.348399699E-1,6.982118487E-1
4.759473750E0,-6.265032887E-1,-5.805562735E-1,7.107438445E-1
4.779476750E0,-7.304405570E-1,-5.653611422E-1,6.975936890E-1
4.799479750E0,-6.699780822E-1,-6.676669717E-1,1.037064672E0
4.819482750E0,-1.061473489E0,-2.577055693E-1,1.251307487E0
4.839485750E0,-1.739042878E0,-4.530004263E-1,9.842352271E-1
4.859488750E0,-1.707224965E0,1.288425177E-1,7.501268387E-1
4.879490750E0,-9.545226097E-1,4.486449063E-2,7.893446684E-1
4.899493750E0,-4.030598328E-2,6.462625861E-1,8.391850591E-1
4.919496750E0,6.419982314E-1,6.283906698E-1,7.875326872E-1
4.939499750E0,5.690891147E-1,4.447546005E-1,1.024379730E0
4.959502750E0,3.252442479E-1,2.962545455E-1,9.051156044E-1
4.979505750E0,-7.745020837E-2,-1.150100529E-1,7.671143413E-1
4.999508750E0,-2.995025516E-1,1.810434908E-1,3.770453930E-1
5.019511750E0,-3.592249453E-1,2.081315815E-1,1.884149164E-1
5.039514750E0,1.953277290E-1,2.506777644E-1,3.798840642E-1
5.059517750E0,4.085820317E-1,1.160315573E-1,7.167583704E-1
5.079520750E0,4.993267357E-1,6.590860337E-2,1.143634439E0
5.099523750E0,1.103083253E0,5.204973221E-1,9.657250643E-1
5.119526750E0,6.115800142E-1,8.743208647E-1,3.339960575E-1
5.139529750E0,-5.554025173E-1,3.962893784E-1,9.716171026E-1
5.159532750E0,3.350355029E-1,-1.790367514E-1,1.182370424E0
5.179535750E0,-3.589041531E-1,-7.075366378E-1,-2.523265481E-1
5.199538750E0,-1.314512342E-1,-4.646424055E-1,-2.050430477E-1
5.219541750E0,7.079928368E-2,-6.575685143E-1,9.048148394E-1
5.239544750E0,3.528217673E-1,-7.433183193E-1,1.234701633E0
5.259547750E0,5.667646527E-1,-8.084599376E-1,1.565217376E0
5.279550750E0,1.077622771E0,-6.134773493E-1,1.400458694E0
5.299553750E0,1.067808747E0,-7.036154270E-1,1.090052605E0
5.319556750E0,3.330575526E-1,-1.071999669E0,1.786647201E0
5.339559750E0,1.079710245E0,-7.628272772E-1,1.697167516E0
5.359562750E0,9.760993123E-1,-6.490265727E-1,1.800983548E0
5.379565750E0,1.692984462E0,-5.248841047E-1,1.869234562E0
5.399568750E0,1.643067956E0,1.052264720E-1,2.287398815E0
5.419571750E0,1.499778748E0,-6.651365757E-2,2.551034212E0
5.439574750E0,1.799888611E0,1.042183399E0,2.695527792E0
5.459577750E0,1.513997078E0,9.694534540E-1,1.952678680E0
5.479581750E0,9.727765918E-1,1.579951942E-1,1.416347861E0
5.499584750E0,5.329393148E-1,5.605667830E-2,1.575341463E0
5.519587750E0,4.265930951E-1,-1.323072433E0,9.995334744E-1
5.539590750E0,4.677155018E-1,4.637105167E-1,1.128945231E0
5.559593750E0,1.219478965E0,-1.149676085E0,1.358665347E0
5.579596750E0,1.072488308E0,7.787376046E-1,1.388276815E0
5.599599750E0,3.842360675E-1,7.706012130E-1,1.714115620E0
5.619602750E0,1.126937747E0,2.024044991E-1,2.070722133E-1
5.639605750E0,5.850554705E-1,9.134179354E-1,-1.139962196E0
5.659608750E0,-1.269199699E-1,-3.710436523E-1,-2.100175619E0
5.679611750E0,1.896031380E0,-1.247309923E0,-1.551137328E0
5.699614750E0,-9.478433132E-1,-1.943790197E0,-7.145853639E-1
5.719617750E0,8.846166134E-1,5.136057138E-1,7.857470512E-1
5.739620750E0,5.303616524E-1,-5.061969161E-1,1.270473957E0
5.759623750E0,-3.222754896E-1,-1.165036440E0,1.615167737E0
5.779626750E0,5.232319236E-1,4.503453970E-1,1.512369394E0
5.799629750E0,2.600975633E-1,9.250544906E-1,1.264050126E0
5.819632750E0,3.817133605E-2,3.090214431E-1,1.432685018E0
5.839635750E0,2.794211209E-1,1.528645307E-1,1.161650181E0
5.859638750E0,6.323257685E-1,-1.003876776E-1,1.252078056E0
5.879642750E0,7.384543419E-1,-3.754026890E-1,1.480253220E0
5.899645750E0,1.008368015E0,-9.067662358E-1,1.540304303E0
5.919648750E0,6.601251960E-1,-3.006587923E-1,1.483523846E0
5.939652750E0,8.110776544E-1,2.054545283E-1,1.606731534E0
5.959655750E0,5.212214589E-1,5.234028101E-1,1.020501018E0
5.979658750E0,5.347171798E-2,1.552874446E-1,1.193680286E0
5.999661750E0,6.422448158E-1,6.838150322E-2,8.028361201E-1
6.019664750E0,5.808663368E-1,-5.059452355E-2,4.525069892E-1
6.039667750E0,5.968967080E-1,3.850056231E-1,5.697200298E-1
6.059670750E0,7.526756525E-1,7.851462066E-2,7.424156070E-1
6.079673750E0,8.043050766E-1,-4.163821340E-1,7.146656513E-1
6.099676750E0,3.525179327E-1,-5.466512442E-1,6.637969017E-1
6.119679750E0,3.414293826E-1,-2.700127661E-1,2.774070799E-1
6.139682750E0,1.936000139E-1,-2.919457853E-1,3.213621378E-1
6.159685750E0,-1.235845219E-2,-1.271502525E-1,4.718653858E-1
6.179688750E0,1.098337024E-1,-1.537612528E-1,6.743264794E-1
6.199691750E0,2.637969553E-1,-1.874948442E-1,3.417860568E-1
6.219694750E0,7.994639128E-2,-2.085542381E-1,1.910876185E-1
6.239697750E0,-3.092559427E-2,2.410268933E-1,3.645679355E-1
6.259700750E0,-1.230593771E-2,7.776142955E-1,4.486072063E-1
6.279704750E0,-1.663043052E-1,1.241940498E0,6.692596674E-1
6.299707750E0,-3.567408919E-1,1.375203967E0,9.334063530E-1
6.319710750E0,-2.602183819E-1,1.178249240E0,9.644060731E-1
6.339713750E0,-2.909560688E-2,7.630141377E-1,9.136470556E-1
6.359716750E0,-2.825420164E-2,2.450330555E-1,1.045258760E0
6.379719750E0,3.765437007E-2,-2.699277364E-3,9.905000925E-1
6.399722750E0,1.966889650E-1,2.340147272E-2,8.982403874E-1
6.419725750E0,3.160567954E-2,4.315742552E-1,9.846876860E-1
6.439728750E0,-2.704803348E-1,6.616826057E-1,1.081184626E0
6.459731750E0,1.196923926E-1,3.668069541E-1,1.304811954E0
6.479734750E0,4.282281175E-2,2.847460806E-1,1.360453010E0
6.499737750E0,-2.791724503E-1,4.046765268E-1,1.235860944E0
6.519740750E0,-6.579811126E-2,-7.453547418E-2,1.330037832E0
6.539743750E0,2.509238571E-2,-7.620506734E-2,1.445713639E0
6.559746750E0,-2.237516493E-1,-7.832670212E-2,1.411869407E0
6.579750750E0,-3.786460161E-1,-7.496264577E-2,1.251625776E0
6.599753750E0,-1.488122195E-1,7.884551883E-1,8.416616321E-1
6.619756750E0,-3.896345496E-1,5.176695585E-1,5.942460299E-1
6.639759750E0,3.885671198E-1,-1.829620004E0,4.223604202E-1
6.659762750E0,8.766744733E-1,-4.659942389E-1,9.647348523E-1
6.679765750E0,-1.451438218E-1,1.238325119E0,1.486466169E0
6.699768750E0,-9.160519838E-1,8.094973564E-1,6.667330861E-1
6.719771750E0,3.842213750E-2,-1.510511875E0,5.824345350E-1
6.739774750E0,1.384281039E0,-1.854608178E0,5.410723090E-1
6.759777750E0,1.328731477E-1,-6.116809249E-1,1.206642509E0
6.779780750E0,-1.157610655E0,8.472768664E-1,1.680350184E0
6.799783750E0,6.167833209E-1,-3.845221400E-1,9.072296023E-1
6.819787750E0,1.543733835E0,-1.563726187E0,5.823240876E-1
6.839790750E0,-6.119635105E-1,-4.230106473E-1,2.023314089E-1
6.859793750E0,-1.459677815E0,6.810535192E-1,7.720748782E-1
6.879799667E0,1.336518168E0,-3.675297201E-1,9.161147475E-1
6.899802667E0,2.087870121E0,-1.129179001E0,8.043746948E-1
6.919805667E0,-9.508017302E-1,-2.075045705E-1,1.365332723E0
6.939808667E0,-4.785070717E-1,-8.164072782E-2,7.433047891E-1
6.959811667E0,3.401544988E-1,-1.895429194E-1,7.291206121E-1
6.979814667E0,-8.853988051E-1,1.534714818E0,9.075276554E-2
6.999817667E0,-3.541640565E-2,-1.143353820E0,-1.029488325E0
7.019821667E0,-1.438390493E0,-1.166896343E0,1.390676051E-1
7.039824667E0,-1.552689970E-1,6.440085173E-1,2.862650454E-1
7.059827667E0,-1.090606809E0,-7.347157598E-1,1.054263949E0
7.079830667E0,-1.134145975E0,1.296322584E0,6.736537814E-1
7.099833667E0,2.836824358E-1,-2.308765054E-1,-3.235598207E-1
7.119836667E0,-6.297584176E-1,1.231928021E-1,2.134875059E-1
7.139839667E0,-1.446850777E0,2.154006720E0,2.999510169E-1
7.159842667E0,-1.895763129E-1,-6.443936229E-1,2.235726267E-1
7.179845667E0,-1.522596329E-1,-2.989845276E0,-6.046364456E-2
7.199848667E0,-3.806756437E-1,1.994101644E0,4.674043357E-1
7.219852667E0,5.061104298E-1,-1.278079748E0,8.709394336E-1
7.239855667E0,-6.996168494E-1,-1.564337015E-1,-7.898657024E-2
7.259858667E0,-4.074075818E-1,6.941765547E-1,4.019149244E-1
7.279861667E0,-1.004685879E0,-1.400246859E0,3.102401495E-1
7.299864667E0,8.523540199E-2,1.946933508E0,-9.518270940E-2
7.319867667E0,-9.603684545E-1,-1.432082176E0,5.849907994E-1
7.339870667E0,-7.618819475E-1,-5.863006711E-1,8.757881820E-2
7.359873667E0,-2.485112548E-1,9.779340625E-1,-5.665639639E-1
7.379876667E0,-1.006014347E0,-1.928647399E0,-4.353192449E-1
7.399880667E0,-7.918670774E-1,-9.152007848E-2,-8.103516698E-1
7.419883667E0,-6.526229382E-1,4.660584629E-1,-7.024657726E-1
7.439886667E0,-8.567432165E-1,-8.116108775E-1,-4.960004985E-1
7.459889667E0,-1.424654603E0,-2.469546556E0,-1.979279637E0
7.479892667E0,-1.206720591E0,8.323587477E-3,-2.561356306E0
7.499895667E0,-9.273508787E-1,3.392394483E-1,-1.801764250E0
7.519898667E0,-1.303133607E0,-5.663360357E-1,-1.857410550E0
7.539901667E0,-1.134722590E0,1.858193129E-1,-2.482091665E0
7.559905667E0,-9.206340909E-1,1.231974959E0,-3.129509211E0
7.579908667E0,-1.134587526E0,2.033686936E-1,-1.853372335E0
7.599911667E0,-9.999846220E-1,-2.446579933E-1,-2.172952652E0
7.619914667E0,-8.100015521E-1,-1.743245721E-1,-2.524928331E0
7.639917667E0,-8.533187509E-1,-3.753319085E-1,-1.772138357E0
7.659920667E0,-5.883244276E-1,-2.464290559E-1,-5.420846343E-1
7.679923667E0,2.414261848E-1,1.393214345E0,3.274874985E-1
7.699927667E0,1.977361590E-1,-2.461530417E-1,8.450605273E-1
