"Time (s)","X (hPa)"
1.192842904E2,1.017651215E3
1.202848624E2,1.017648621E3
1.212854374E2,1.017646408E3
1.222860104E2,1.017646408E3
1.232865894E2,1.017646561E3
1.242871664E2,1.017646561E3
1.252877454E2,1.017648163E3
1.262883204E2,1.017648163E3
1.272888954E2,1.017647171E3
1.282894714E2,1.017644272E3
1.292900484E2,1.017644272E3
1.302906244E2,1.017645645E3
1.312912044E2,1.017647552E3
1.322917764E2,1.017649002E3
1.332923544E2,1.017649689E3
1.342929294E2,1.017649689E3
1.352935094E2,1.017647400E3
1.362940764E2,1.017641830E3
1.372946584E2,1.017637100E3
1.382952364E2,1.017631149E3
1.392958934E2,1.017622223E3
1.402963834E2,1.017614975E3
1.412969634E2,1.017608032E3
1.422975404E2,1.017596512E3
1.432981154E2,1.017586746E3
1.442986884E2,1.017576447E3
1.452992634E2,1.017565918E3
1.463001164E2,1.017554855E3
1.473004184E2,1.017548141E3
1.483009974E2,1.017541275E3
1.493015734E2,1.017533798E3
1.503021504E2,1.017525101E3
1.513027234E2,1.017519608E3
1.523033044E2,1.017512207E3
1.533040454E2,1.017504959E3
1.543044564E2,1.017496033E3
1.553050354E2,1.017486649E3
1.563056094E2,1.017477036E3
1.573061834E2,1.017464676E3
1.583067604E2,1.017451706E3
1.593073344E2,1.017439194E3
1.603082104E2,1.017429199E3
1.613084844E2,1.017420883E3
1.623090614E2,1.017417984E3
1.633096384E2,1.017414093E3
1.643102184E2,1.017411346E3
1.653107914E2,1.017410049E3
1.663113674E2,1.017410049E3
1.673119464E2,1.017411194E3
1.683125194E2,1.017418594E3
1.693130974E2,1.017425766E3
1.703136704E2,1.017430878E3
1.713142494E2,1.017439728E3
1.723148244E2,1.017443085E3
1.733154004E2,1.017445526E3
1.743159764E2,1.017451172E3
1.753165514E2,1.017457733E3
1.763171284E2,1.017461472E3
1.773177034E2,1.017465744E3
1.783182874E2,1.017471848E3
1.793188584E2,1.017477036E3
1.803194374E2,1.017482758E3
1.813200144E2,1.017490082E3
1.823205844E2,1.017498550E3
1.833211684E2,1.017505493E3
1.843217404E2,1.017510910E3
1.853223164E2,1.017513809E3
1.863228954E2,1.017515869E3
1.873234644E2,1.017520599E3
1.883240434E2,1.017522507E3
1.893246274E2,1.017525940E3
1.903252034E2,1.017531662E3
1.913257784E2,1.017534256E3
1.923263554E2,1.017535782E3
1.933269314E2,1.017537537E3
1.943275054E2,1.017538223E3
1.953280744E2,1.017538223E3
1.963286644E2,1.017537079E3
1.973292374E2,1.017536545E3
1.983298114E2,1.017536316E3
1.993303854E2,1.017536316E3
2.003309624E2,1.017536240E3
2.013315364E2,1.017535782E3
2.023321144E2,1.017534790E3
2.033326974E2,1.017532883E3
2.043332684E2,1.017532883E3
2.053338424E2,1.017533569E3
2.063344204E2,1.017535095E3
2.073349974E2,1.017537308E3
2.083355764E2,1.017538834E3
2.093361504E2,1.017540359E3
2.103367274E2,1.017542343E3
2.113373074E2,1.017544632E3
2.123378864E2,1.017547989E3
2.133384574E2,1.017550507E3
2.143390324E2,1.017551422E3
2.153396044E2,1.017551422E3
2.163401854E2,1.017550888E3
2.173407614E2,1.017550735E3
2.183413334E2,1.017550735E3
2.193419134E2,1.017551346E3
2.203424894E2,1.017554550E3
2.213430654E2,1.017554703E3
2.223436424E2,1.017558975E3
2.233442144E2,1.017560654E3
2.243447964E2,1.017563400E3
2.253453724E2,1.017563705E3
2.263459484E2,1.017567444E3
2.273465254E2,1.017567520E3
2.283471034E2,1.017569504E3
2.293476774E2,1.017571259E3
2.303482554E2,1.017571259E3
2.313488284E2,1.017570190E3
2.323494054E2,1.017570038E3
2.333499784E2,1.017569351E3
2.343505544E2,1.017568588E3
2.353511334E2,1.017568588E3
2.363517124E2,1.017569656E3
2.373522864E2,1.017571259E3
2.383528654E2,1.017573395E3
2.393534374E2,1.017574997E3
2.403540164E2,1.017578049E3
2.413545894E2,1.017580338E3
2.423551654E2,1.017582016E3
2.433557454E2,1.017585144E3
2.443563244E2,1.017585907E3
2.453568964E2,1.017585983E3
2.463574734E2,1.017586670E3
2.473580534E2,1.017587891E3
2.483586284E2,1.017588043E3
2.493592064E2,1.017588882E3
2.503597784E2,1.017589111E3
2.513603554E2,1.017589569E3
2.523609324E2,1.017590332E3
2.533615084E2,1.017590408E3
2.543620844E2,1.017590408E3
2.553626604E2,1.017592926E3
2.563632364E2,1.017596970E3
2.573638134E2,1.017597733E3
2.583643914E2,1.017600861E3
2.593649674E2,1.017603073E3
2.603655434E2,1.017603073E3
2.613661174E2,1.017603073E3
2.623666934E2,1.017606049E3
2.633672704E2,1.017607574E3
2.643678434E2,1.017608337E3
2.653684264E2,1.017609482E3
2.663689974E2,1.017609482E3
2.673695784E2,1.017606430E3
2.683701534E2,1.017606430E3
2.693707304E2,1.017608414E3
2.703713044E2,1.017609482E3
2.713718824E2,1.017611389E3
2.723724654E2,1.017612610E3
2.733730324E2,1.017612610E3
2.743736154E2,1.017610703E3
2.753741864E2,1.017610626E3
2.763747644E2,1.017610626E3
2.773757724E2,1.017610626E3
2.783759174E2,1.017610397E3
2.793764964E2,1.017608414E3
2.803770704E2,1.017608109E3
2.813776474E2,1.017607956E3
