"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.017619760E2,3.211290783E1,1.189536792E2,1.742858920E1,2.081387050E0,3.581949432E2,5.043276510E0,5.043276510E0
1.027619770E2,3.211293013E1,1.189536778E2,1.730486524E1,1.403127864E0,3.576173309E2,5.024044947E0,5.024044947E0
1.037619777E2,3.211296134E1,1.189536797E2,1.736718218E1,1.789052309E0,3.589062861E2,5.040636889E0,5.040636889E0
1.047619783E2,3.211298357E1,1.189536707E2,1.719510954E1,1.323921458E0,3.531724103E2,5.025984530E0,5.025984530E0
1.057619786E2,3.211301533E1,1.189536686E2,1.762029294E1,1.713148593E0,3.567427493E2,5.046833293E0,5.046833293E0
1.067619785E2,3.211303965E1,1.189536691E2,1.769606449E1,1.317262132E0,8.284476465E-1,5.044003126E0,5.044003126E0
1.077619781E2,3.211307212E1,1.189536677E2,1.737443682E1,1.869950131E0,2.273473276E0,5.074248560E0,5.074248560E0
1.087619788E2,3.211309928E1,1.189536606E2,1.747133202E1,1.665611261E0,3.558520777E2,5.074110906E0,5.074110906E0
1.097619781E2,3.211313100E1,1.189536507E2,1.750513559E1,2.059128032E0,3.507135748E2,5.105293765E0,5.105293765E0
1.107619787E2,3.211315097E1,1.189536503E2,1.759618326E1,1.619349544E0,3.552493333E2,5.110137480E0,5.110137480E0
1.117619781E2,3.211318366E1,1.189536491E2,1.761744679E1,1.927149093E0,3.588130949E2,5.148766897E0,5.148766897E0
1.127619781E2,3.211320989E1,1.189536441E2,1.749810310E1,1.645947605E0,3.591483730E2,5.152631010E0,5.152631010E0
1.137619770E2,3.211323741E1,1.189536392E2,1.753545756E1,1.994404006E0,3.579708809E2,5.186119107E0,5.186119107E0
1.147619763E2,3.211326097E1,1.189536294E2,1.724010598E1,1.647913308E0,3.538886896E2,5.168022876E0,5.168022876E0
1.157619756E2,3.211329031E1,1.189536243E2,1.713811159E1,1.850901060E0,3.535217793E2,5.196166057E0,5.196166057E0
1.167619749E2,3.211331373E1,1.189536232E2,1.697151639E1,1.610293309E0,1.743924135E0,5.183182420E0,5.183182420E0
1.177619743E2,3.211334465E1,1.189536161E2,1.694820332E1,1.874269949E0,9.992562681E-1,5.218893097E0,5.218893097E0
1.187619721E2,3.211337113E1,1.189536061E2,1.710950991E1,1.624018647E0,3.535985038E2,5.195152207E0,5.195152207E0
1.197619712E2,3.211340397E1,1.189535949E2,1.694010238E1,1.954269688E0,3.495108807E2,5.214125718E0,5.214125718E0
1.207619708E2,3.211342738E1,1.189535834E2,1.703907999E1,1.678093787E0,3.461258147E2,5.219353758E0,5.219353758E0
1.217619692E2,3.211345927E1,1.189535679E2,1.705064841E1,1.968045939E0,3.487810549E2,5.202087106E0,5.202087106E0
1.227619676E2,3.211348193E1,1.189535648E2,1.702303352E1,1.697473518E0,3.567988726E2,5.132082905E0,5.132082905E0
1.237619670E2,3.211351158E1,1.189535628E2,1.687778549E1,1.724283854E0,3.592493752E2,5.134595090E0,5.134595090E0
1.247619659E2,3.211353889E1,1.189535558E2,1.676841300E1,1.613798489E0,3.563892532E2,5.110932949E0,5.110932949E0
1.257619640E2,3.211356636E1,1.189535453E2,1.677196371E1,1.741688744E0,3.545194210E2,5.111801357E0,5.111801357E0
1.267619630E2,3.211359141E1,1.189535337E2,1.677103080E1,1.625230237E0,3.528139836E2,5.053068007E0,5.053068007E0
1.277619611E2,3.211361832E1,1.189535327E2,1.668236382E1,1.633204814E0,3.543494972E2,5.067563945E0,5.067563945E0
1.287619619E2,3.211364281E1,1.189535288E2,1.659178295E1,1.678128041E0,3.513599708E2,5.077599352E0,5.077599352E0
1.297619580E2,3.211367152E1,1.189535191E2,1.663677879E1,1.816471563E0,3.493104650E2,5.095200903E0,5.095200903E0
1.307619575E2,3.211369517E1,1.189535100E2,1.656922324E1,1.674038436E0,3.480659520E2,5.119203298E0,5.119203298E0
1.317619545E2,3.211372909E1,1.189534986E2,1.631880847E1,2.106426942E0,3.462697583E2,5.154908394E0,5.154908394E0
1.327619545E2,3.211375837E1,1.189534997E2,1.614820742E1,1.660996640E0,3.519426370E2,5.158157439E0,5.158157439E0
1.337619539E2,3.211379720E1,1.189534938E2,1.645532175E1,2.185099646E0,3.519006234E2,5.204222321E0,5.204222321E0
1.347619510E2,3.211381825E1,1.189534888E2,1.634431592E1,1.636728607E0,3.514689406E2,5.230345345E0,5.230345345E0
1.357619503E2,3.211384728E1,1.189534911E2,1.675937315E1,1.776243130E0,3.561280943E2,5.271068600E0,5.271068600E0
1.367619470E2,3.211387706E1,1.189534934E2,1.617305280E1,1.758680966E0,3.586296253E2,5.320355695E0,5.320355695E0
1.377619453E2,3.211391098E1,1.189534835E2,1.655274318E1,2.047191359E0,3.532033293E2,5.459228879E0,5.459228879E0
1.387619434E2,3.211393928E1,1.189534817E2,1.650475004E1,1.630101630E0,3.558933606E2,5.455036737E0,5.455036737E0
1.397619425E2,3.211397389E1,1.189534775E2,1.625380924E1,2.002348649E0,3.553888146E2,5.492505595E0,5.492505595E0
1.407619408E2,3.211399863E1,1.189534714E2,1.635804188E1,1.630751354E0,3.550626279E2,5.511670154E0,5.511670154E0
1.417619392E2,3.211403106E1,1.189534489E2,1.621484251E1,2.010679669E0,3.475924918E2,5.473505637E0,5.473505637E0
1.427619367E2,3.211405667E1,1.189534523E2,1.639992401E1,1.629133274E0,3.570545672E2,5.431661465E0,5.431661465E0
1.437619348E2,3.211409072E1,1.189534541E2,1.651881088E1,2.031150472E0,6.621119180E-1,5.474458676E0,5.474458676E0
1.447619339E2,3.211411875E1,1.189534599E2,1.655232375E1,1.608787842E0,3.290978115E0,5.476527136E0,5.476527136E0
1.457619322E2,3.211414973E1,1.189534592E2,1.646794413E1,1.838178168E0,3.265051622E0,5.529173110E0,5.529173110E0
1.467619297E2,3.211418191E1,1.189534515E2,1.636193106E1,1.625220978E0,3.289481081E0,5.411559793E0,5.411559793E0
1.477619278E2,3.211421794E1,1.189534546E2,1.655572975E1,2.065733037E0,3.714643631E0,5.475508171E0,5.475508171E0
1.487619257E2,3.211424293E1,1.189534529E2,1.626187976E1,1.616066316E0,3.054291377E0,5.444420941E0,5.444420941E0
1.497619243E2,3.211427567E1,1.189534404E2,1.634001927E1,2.017776111E0,3.534026516E2,5.446411391E0,5.446411391E0
1.507619223E2,3.211430460E1,1.189534463E2,1.655900755E1,1.603751179E0,3.571430090E2,5.330036997E0,5.330036997E0
