"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.879490750E0,5.558624268E1,-5.216550446E1,3.721875000E1
4.899493750E0,5.347782898E1,-5.286079407E1,3.673541260E1
4.919496750E0,5.304219055E1,-5.366115570E1,3.821115112E1
4.939499750E0,5.354823303E1,-5.412228394E1,3.955798340E1
4.959502750E0,5.334883118E1,-5.492216492E1,4.043951416E1
4.979505750E0,5.269705200E1,-5.525198364E1,3.942718506E1
4.999508750E0,5.165068054E1,-5.598116302E1,3.781933594E1
5.019511750E0,5.056520081E1,-5.651992798E1,3.784643555E1
5.039514750E0,4.984020996E1,-5.718782043E1,3.733471680E1
5.059517750E0,4.972102356E1,-5.711322021E1,3.671295166E1
5.079520750E0,4.854318237E1,-5.771607971E1,3.540075684E1
5.099523750E0,4.771395874E1,-5.847061157E1,3.459295654E1
5.119526750E0,4.855584717E1,-5.906201172E1,3.666027832E1
5.139529750E0,4.766549683E1,-6.017543030E1,3.688473511E1
5.159532750E0,4.454682922E1,-6.108146667E1,3.376647949E1
5.179535750E0,4.421310425E1,-6.114930725E1,3.319934082E1
5.199538750E0,4.489056396E1,-6.091921997E1,3.449752808E1
5.219541750E0,4.472793579E1,-6.078623962E1,3.557510376E1
5.239544750E0,4.347434998E1,-6.100233459E1,3.502996826E1
5.259547750E0,4.156262207E1,-6.118432617E1,3.392459106E1
5.279550750E0,3.993052673E1,-6.122564697E1,3.399722290E1
5.299553750E0,4.015438843E1,-6.107624817E1,3.583367920E1
5.319556750E0,3.869395447E1,-6.106877136E1,3.654681396E1
5.339559750E0,3.678128052E1,-6.089276123E1,3.701428223E1
5.359562750E0,3.472344971E1,-6.089930725E1,3.865332031E1
5.379565750E0,3.345129395E1,-6.037997437E1,3.981216431E1
5.399568750E0,3.215075684E1,-5.973466492E1,4.164987183E1
5.419571750E0,2.925715637E1,-5.945249939E1,4.263925171E1
5.439574750E0,2.534545898E1,-5.847653198E1,4.284802246E1
5.459577750E0,2.220823669E1,-5.752278137E1,4.515200806E1
5.479581750E0,1.983845520E1,-5.661614990E1,4.775024414E1
5.499584750E0,1.780363464E1,-5.578752899E1,4.961430359E1
5.519587750E0,1.716946411E1,-5.492539978E1,5.102664185E1
5.539590750E0,1.532661438E1,-5.453137970E1,5.222198486E1
5.559593750E0,1.483782959E1,-5.377401733E1,5.362413025E1
5.579596750E0,1.485614014E1,-5.293682861E1,5.551876831E1
5.599599750E0,1.184687805E1,-5.212083435E1,5.537120056E1
5.619602750E0,1.127302551E1,-5.106078339E1,5.541288757E1
5.639605750E0,1.261715698E1,-4.982840729E1,5.926089478E1
5.659608750E0,1.536940002E1,-4.959542084E1,6.545910645E1
5.679611750E0,2.207267761E1,-4.785397339E1,7.448207092E1
5.699614750E0,3.115055847E1,-4.399000549E1,8.884431458E1
5.719617750E0,3.154290771E1,-4.190704346E1,9.578181458E1
5.739620750E0,2.972073364E1,-4.095058441E1,9.890110779E1
5.759623750E0,2.610748291E1,-4.174045563E1,9.473097229E1
5.779626750E0,2.218748474E1,-4.227570343E1,9.148857117E1
5.799629750E0,2.062994385E1,-4.204170227E1,9.087066650E1
5.819632750E0,1.556410217E1,-4.221132660E1,8.808020020E1
5.839635750E0,1.242272949E1,-4.284485626E1,8.560832214E1
5.859638750E0,1.025399780E1,-4.241493225E1,8.462319946E1
5.879642750E0,9.251495361E0,-4.188260651E1,8.522537231E1
5.899645750E0,1.023948669E1,-4.081703186E1,8.624620056E1
5.919648750E0,1.251782227E1,-3.938811493E1,8.703991699E1
5.939652750E0,1.208772278E1,-3.864824677E1,8.611279297E1
5.959655750E0,1.181983948E1,-3.763382721E1,8.607382202E1
5.979658750E0,8.546249390E0,-3.752274323E1,8.580776978E1
5.999661750E0,5.686645508E0,-3.725337219E1,8.487382507E1
6.019664750E0,5.011154175E0,-3.632573700E1,8.680462646E1
6.039667750E0,4.017517090E0,-3.576850128E1,8.881710815E1
6.059670750E0,3.136489868E0,-3.483964539E1,9.010711670E1
6.079673750E0,4.796875000E0,-3.362405396E1,9.267744446E1
6.099676750E0,7.894760132E0,-3.251496124E1,9.380708313E1
6.119679750E0,9.107162476E0,-3.185357666E1,9.332894897E1
6.139682750E0,1.027638245E1,-3.121205902E1,9.418830872E1
6.159685750E0,1.029273987E1,-3.132596588E1,9.311875916E1
6.179688750E0,9.631988525E0,-3.161314392E1,9.076922607E1
6.199691750E0,9.395324707E0,-3.159870911E1,8.994042969E1
6.219694750E0,9.505981445E0,-3.129362488E1,9.038589478E1
6.239697750E0,8.256240845E0,-3.149182129E1,9.052780151E1
6.259700750E0,5.695785522E0,-3.156378174E1,9.027462769E1
6.279704750E0,2.213088989E0,-3.179808044E1,8.951445007E1
6.299707750E0,-2.769134521E0,-3.227993774E1,8.714506531E1
6.319710750E0,-7.112991333E0,-3.258372498E1,8.372740173E1
6.339713750E0,-1.057530212E1,-3.240331268E1,8.167413330E1
6.359716750E0,-1.247486877E1,-3.191970062E1,8.082952881E1
6.379719750E0,-1.333990479E1,-3.113340759E1,8.010626221E1
6.399722750E0,-1.388284302E1,-3.058245087E1,7.966119385E1
6.419725750E0,-1.475337219E1,-2.990779114E1,8.045320129E1
6.439728750E0,-1.665151978E1,-2.943747711E1,7.956752014E1
6.459731750E0,-1.857853699E1,-2.895861816E1,7.811073303E1
6.479734750E0,-1.912956238E1,-2.789157104E1,7.740065002E1
6.499737750E0,-2.008715820E1,-2.714850616E1,7.634545898E1
6.519740750E0,-2.090138245E1,-2.605726624E1,7.526847839E1
6.539743750E0,-2.050155640E1,-2.527612305E1,7.472563171E1
6.559746750E0,-2.032231140E1,-2.424347687E1,7.449957275E1
6.579750750E0,-2.105920410E1,-2.392817688E1,7.345782471E1
6.599753750E0,-2.232737732E1,-2.367176056E1,7.243263245E1
6.619756750E0,-2.425117493E1,-2.316728973E1,7.088685608E1
6.639759750E0,-2.411004639E1,-2.330509186E1,7.114942932E1
6.659762750E0,-2.122648621E1,-2.212665558E1,7.326489258E1
6.679765750E0,-2.072506714E1,-2.096358490E1,7.269692993E1
6.699768750E0,-2.424093628E1,-2.073810577E1,7.003356934E1
6.719771750E0,-2.487220764E1,-2.085516357E1,6.902351379E1
6.739774750E0,-2.059251404E1,-1.947112274E1,7.297720337E1
6.759777750E0,-1.727258301E1,-1.816253662E1,7.625132751E1
6.779780750E0,-1.834640503E1,-1.771576691E1,7.383709717E1
6.799783750E0,-1.938526917E1,-1.721134949E1,7.144506836E1
6.819787750E0,-1.436166382E1,-1.537985229E1,7.514746094E1
6.839790750E0,-1.051351929E1,-1.435021210E1,7.803933716E1
6.859793750E0,-1.423434448E1,-1.576008606E1,7.567420959E1
6.879799667E0,-1.473518372E1,-1.537773132E1,7.443553162E1
6.899802667E0,-6.042724609E0,-1.225932312E1,7.942687988E1
6.919805667E0,-1.501113892E0,-1.098473358E1,8.039474487E1
6.939808667E0,-2.837936401E0,-1.142454529E1,7.726400757E1
6.959811667E0,1.149841309E0,-9.786453247E0,7.731573486E1
6.979814667E0,-2.232818604E0,-1.021826935E1,7.496003723E1
6.999817667E0,-1.742004395E0,-1.118167114E1,7.855316162E1
7.019821667E0,2.331222534E0,-1.121963501E1,8.285505676E1
7.039824667E0,1.891647339E0,-1.139587402E1,8.204473877E1
7.059827667E0,2.227935791E0,-1.134584808E1,7.971211243E1
7.079830667E0,-2.423858643E-1,-1.138685608E1,7.546348572E1
7.099833667E0,-1.832580566E0,-1.225543213E1,7.501588440E1
7.119836667E0,8.681030273E-1,-1.191838074E1,7.750033569E1
7.139839667E0,-3.046646118E0,-1.211881256E1,7.708535767E1
7.159842667E0,-6.213638306E0,-1.320388031E1,7.569392395E1
7.179845667E0,7.759094238E-2,-1.175740814E1,8.154783630E1
7.199848667E0,-1.136093140E0,-1.219523621E1,8.210067749E1
7.219852667E0,1.350616455E0,-1.130744171E1,8.339491272E1
7.239855667E0,1.888732910E0,-1.231390381E1,8.336158752E1
7.259858667E0,1.949157715E0,-1.202900696E1,8.536561584E1
7.279861667E0,2.940628052E0,-1.226068115E1,8.476214600E1
7.299864667E0,2.642517090E0,-1.236169434E1,8.592665100E1
7.319867667E0,1.799804688E0,-1.236435699E1,8.501478577E1
7.339870667E0,2.586654663E0,-1.259101105E1,8.454475403E1
7.359873667E0,2.772018433E0,-1.320194244E1,8.551251221E1
