"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.610550750E0,-3.242108002E0,4.634213104E0,1.037103333E1
3.630553750E0,-2.697540436E0,3.580404510E0,1.022089554E1
3.650556750E0,-1.849254456E0,4.376748505E0,8.952133942E0
3.670559750E0,-1.859582977E0,4.377646637E0,8.918753357E0
3.690562750E0,-1.947599945E0,3.828588409E0,9.107959900E0
3.710565750E0,-1.324146423E0,3.768563232E0,8.715326385E0
3.730568750E0,-9.336085510E-1,3.475173340E0,9.057814178E0
3.750571750E0,-1.547032928E0,3.462300110E0,1.054048096E1
3.770574750E0,-1.363514557E0,3.457210693E0,1.102622086E1
3.790577750E0,-1.437011719E0,2.979703674E0,1.116962265E1
3.810580750E0,-1.481918335E0,2.855312347E0,1.170176605E1
3.830583750E0,-1.328337708E0,2.390828247E0,1.172511749E1
3.850586750E0,-1.032253418E0,2.005529480E0,1.106588837E1
3.870590750E0,-7.123686218E-1,2.024689636E0,1.024499542E1
3.890593750E0,-7.250921631E-1,2.173180847E0,9.492809601E0
3.910596750E0,-8.505313110E-1,2.587369537E0,8.816366272E0
3.930599750E0,-7.592211914E-1,3.020568695E0,8.168214111E0
3.950602750E0,-1.258882141E0,3.068169708E0,7.854616241E0
3.970605750E0,-8.842112732E-1,3.594924316E0,7.831414490E0
3.990608750E0,-1.080752563E0,3.705095215E0,8.112978973E0
4.010611750E0,-8.452922058E-1,3.774401093E0,7.890092468E0
4.030614750E0,-7.470964050E-1,3.852089539E0,7.879165192E0
4.050617750E0,-1.018631744E0,3.690725098E0,8.718619537E0
4.070620750E0,-1.099912720E0,4.206552429E0,9.978848877E0
4.090623750E0,-1.427581329E0,3.048111420E0,9.255852356E0
4.110626750E0,-1.535357208E0,3.213667145E0,7.061565399E0
4.130629750E0,-1.030307465E0,4.085304565E0,5.805377655E0
4.150632750E0,-1.636846161E0,3.659739532E0,6.110892334E0
4.170635750E0,-3.327430573E0,2.652484131E0,7.085665283E0
4.190638750E0,-3.823049927E0,3.927981720E0,6.169869690E0
4.210641750E0,-4.008813629E0,6.163882141E0,3.399281158E0
4.230644750E0,-5.499264221E0,7.365732880E0,8.195457458E-1
4.250647750E0,-6.947951660E0,7.867489471E0,-2.914439392E-1
4.270650750E0,-8.999734955E0,7.576494598E0,-1.149609375E-1
4.290653750E0,-9.286688232E0,7.812853088E0,-1.128952332E0
4.310656750E0,-1.051099228E1,1.045710434E1,-1.921254730E0
4.330659750E0,-1.022179367E1,1.015009277E1,-2.233056335E0
4.350662750E0,-1.020712418E1,8.873697052E0,-9.482780457E-1
4.370665750E0,-6.226452026E0,8.094716949E0,2.496508484E0
4.390668750E0,-4.487967224E0,5.075345764E0,3.087479553E0
4.410671750E0,-5.349276123E0,4.128414917E0,4.180805969E-1
4.430674750E0,-6.431824951E0,5.168152771E0,-3.620221710E0
4.450677750E0,-6.824159088E0,7.506440277E0,-6.650520172E0
4.470680750E0,-7.012617188E0,7.135811005E0,-7.229665833E0
4.490682750E0,-6.967710571E0,6.200106812E0,-7.773335266E0
4.510685750E0,-6.374045105E0,5.734574890E0,-9.089548187E0
4.530688750E0,-5.784421234E0,5.357209625E0,-1.024005569E1
4.550691750E0,-5.000351715E0,5.132826233E0,-1.047761169E1
4.570694750E0,-3.896996155E0,4.513264618E0,-9.847871246E0
4.590697750E0,-3.216361542E0,3.819008331E0,-1.010773087E1
4.610700750E0,-3.017425232E0,3.307971039E0,-1.056727524E1
4.630703750E0,-2.955603790E0,3.621868286E0,-1.028481262E1
4.650706750E0,-5.841452637E0,4.039350128E0,-8.803942108E0
4.670709750E0,-5.570815430E0,3.949087830E0,-7.959847412E0
4.690712750E0,-5.660628662E0,4.284989319E0,-7.450905762E0
4.710715750E0,-7.730823669E0,3.453169098E0,-6.947951660E0
4.730718750E0,-5.753435669E0,4.284390564E0,-8.729696503E0
4.750721750E0,-5.914351044E0,4.421804810E0,-7.412286072E0
4.770724750E0,-5.022505646E0,3.327280884E0,-6.371201019E0
4.790727750E0,-4.419709167E0,3.762875061E0,-7.003635864E0
4.810730750E0,-3.012485504E0,5.397924957E0,-6.390361176E0
4.830733750E0,-4.747078400E0,5.527106323E0,-6.221212921E0
4.850736750E0,-6.027366028E0,6.141129456E0,-6.552174683E0
4.870739750E0,-6.054010620E0,7.154372406E0,-5.625152435E0
4.890742750E0,-5.617967377E0,7.434589691E0,-6.621330872E0
4.910745750E0,-6.285429382E0,7.248376923E0,-6.569987640E0
4.930748750E0,-5.793851624E0,6.303392029E0,-6.443800049E0
4.950751750E0,-4.858746185E0,5.214256897E0,-7.143295441E0
4.970754750E0,-3.201093292E0,5.421126709E0,-7.669151917E0
4.990757750E0,-1.765728149E0,4.998705139E0,-8.147706757E0
5.010760750E0,-3.900888062E0,4.645589447E0,-6.725214844E0
5.030763750E0,-3.521127777E0,5.905220032E0,-6.561006317E0
5.050766750E0,-3.481609955E0,6.873406677E0,-7.641908569E0
5.070769750E0,-2.527793427E0,6.628366241E0,-4.192781067E0
5.090772750E0,-1.898052979E-1,6.587650909E0,-7.943082275E0
5.110775750E0,-3.363355865E0,5.353766785E0,-1.240769806E1
