"Time (s)","Pressure (hPa)"
2.970845844E1,1.016735352E3
2.978845844E1,1.016737305E3
2.986845844E1,1.016731445E3
2.994845844E1,1.016722656E3
3.002845844E1,1.016726074E3
3.010845844E1,1.016736816E3
3.018845844E1,1.016725098E3
3.026845844E1,1.016720703E3
3.034845844E1,1.016707031E3
3.042845844E1,1.016716797E3
3.050845844E1,1.016731934E3
3.058845844E1,1.016713379E3
3.066845844E1,1.016719727E3
3.074845844E1,1.016714355E3
3.082845844E1,1.016727539E3
3.090845844E1,1.016713867E3
3.098845844E1,1.016729004E3
3.106845844E1,1.016729004E3
3.114845844E1,1.016721191E3
3.122845844E1,1.016708496E3
3.130845844E1,1.016695801E3
3.138845844E1,1.016695312E3
3.146845844E1,1.016697754E3
3.154845844E1,1.016701172E3
3.162845844E1,1.016710449E3
3.170845844E1,1.016708496E3
3.178845844E1,1.016710449E3
3.186845844E1,1.016702637E3
3.194845844E1,1.016702637E3
3.202845844E1,1.016695801E3
3.210845844E1,1.016698242E3
3.218845844E1,1.016710938E3
3.226845844E1,1.016708984E3
3.234845844E1,1.016702148E3
3.242845844E1,1.016693848E3
3.250845844E1,1.016693359E3
3.258845844E1,1.016699707E3
3.266845844E1,1.016700684E3
3.274845844E1,1.016703125E3
3.282845844E1,1.016684570E3
3.290845844E1,1.016691895E3
3.298845844E1,1.016683594E3
3.306845844E1,1.016689941E3
3.314845844E1,1.016693848E3
3.322845844E1,1.016702148E3
3.330845844E1,1.016693359E3
3.338845844E1,1.016679199E3
3.346845844E1,1.016669434E3
3.354845844E1,1.016676758E3
3.362845844E1,1.016669922E3
3.370845844E1,1.016680664E3
3.378845844E1,1.016666504E3
3.386845844E1,1.016669434E3
3.394845844E1,1.016665039E3
3.402845844E1,1.016657227E3
3.410845844E1,1.016648438E3
3.418845844E1,1.016641113E3
3.426845844E1,1.016651367E3
3.434845844E1,1.016655762E3
3.442845844E1,1.016650391E3
3.450845844E1,1.016653809E3
3.458845844E1,1.016640137E3
3.466845844E1,1.016629883E3
3.474845844E1,1.016635254E3
3.482845844E1,1.016635742E3
3.490845844E1,1.016642578E3
3.498845844E1,1.016639648E3
3.506845844E1,1.016631836E3
3.514845844E1,1.016626953E3
3.522845844E1,1.016631348E3
3.530846000E1,1.016644531E3
3.538845844E1,1.016641602E3
3.546845844E1,1.016642090E3
3.554845844E1,1.016636719E3
3.562845844E1,1.016626953E3
3.570845844E1,1.016638184E3
3.578845844E1,1.016629883E3
3.586845844E1,1.016626953E3
3.594845844E1,1.016624512E3
3.602846000E1,1.016623047E3
3.610845844E1,1.016630859E3
3.618845844E1,1.016625977E3
3.626846000E1,1.016618164E3
3.634846000E1,1.016620117E3
3.642845844E1,1.016613770E3
3.650845844E1,1.016602539E3
3.658845844E1,1.016599609E3
3.666845844E1,1.016600586E3
3.674846000E1,1.016596680E3
3.682845844E1,1.016595703E3
3.690846000E1,1.016591309E3
3.698846000E1,1.016594727E3
3.706845844E1,1.016599121E3
3.714846000E1,1.016601562E3
3.722845844E1,1.016595703E3
3.730846000E1,1.016601074E3
3.738845844E1,1.016604980E3
3.746845844E1,1.016602539E3
3.754846000E1,1.016593262E3
3.762845844E1,1.016584473E3
3.770845844E1,1.016586914E3
3.778845844E1,1.016578125E3
3.786845844E1,1.016582520E3
3.794846000E1,1.016582520E3
3.802846000E1,1.016588867E3
3.810845844E1,1.016599609E3
3.818846000E1,1.016594727E3
3.826845844E1,1.016589355E3
3.834846000E1,1.016592285E3
3.842846000E1,1.016580566E3
3.850845844E1,1.016583496E3
3.858845844E1,1.016585449E3
3.866845844E1,1.016579102E3
3.874845844E1,1.016564941E3
3.882845844E1,1.016565430E3
3.890846000E1,1.016563965E3
3.898846000E1,1.016564941E3
3.906846000E1,1.016567383E3
3.914845844E1,1.016569824E3
3.922845844E1,1.016576660E3
3.930846000E1,1.016574707E3
3.938846000E1,1.016575195E3
3.946845844E1,1.016574707E3
3.954846000E1,1.016574707E3
3.962846000E1,1.016575195E3
3.970846000E1,1.016565430E3
3.978846000E1,1.016570801E3
3.986846000E1,1.016561035E3
3.994846000E1,1.016561523E3
4.002846000E1,1.016563965E3
4.010845844E1,1.016566406E3
4.018846000E1,1.016562500E3
4.026846000E1,1.016559082E3
4.034846000E1,1.016565918E3
4.042845844E1,1.016561035E3
4.050845844E1,1.016562012E3
4.058846000E1,1.016557617E3
4.066846000E1,1.016557129E3
4.074845844E1,1.016555176E3
4.082845844E1,1.016566406E3
4.090846000E1,1.016553223E3
4.098846000E1,1.016545410E3
4.106846000E1,1.016546875E3
4.114846000E1,1.016559082E3
4.122846000E1,1.016547363E3
4.130846000E1,1.016561035E3
4.138845844E1,1.016558594E3
4.146845844E1,1.016552246E3
4.154846000E1,1.016537598E3
4.162846000E1,1.016533691E3
4.170846000E1,1.016544922E3
4.178846000E1,1.016537598E3
