"Time (s)","Pressure (hPa)"
1.614250620E2,1.014801208E3
1.614656535E2,1.014841248E3
1.615050322E2,1.014802490E3
1.615450370E2,1.014833740E3
1.615850322E2,1.014841248E3
1.616250402E2,1.014847473E3
1.616650673E2,1.014839966E3
1.617050697E2,1.014824951E3
1.617450423E2,1.014806213E3
1.617850409E2,1.014653748E3
1.618250408E2,1.014871216E3
1.618650426E2,1.014892456E3
1.619050407E2,1.014766235E3
1.619450820E2,1.014804993E3
1.619850357E2,1.014816223E3
1.620250360E2,1.014832458E3
1.620650317E2,1.014798706E3
1.621050419E2,1.014802490E3
1.621450425E2,1.014848755E3
1.621850409E2,1.014818726E3
1.622250667E2,1.014786255E3
1.622650645E2,1.014828735E3
1.623050647E2,1.014812500E3
1.623450629E2,1.014787476E3
1.623851151E2,1.014772461E3
1.624250318E2,1.014824951E3
1.624650350E2,1.014796204E3
1.625050365E2,1.014791199E3
1.625450545E2,1.014822449E3
1.625850439E2,1.014812500E3
1.626250408E2,1.014813721E3
1.626650407E2,1.014846252E3
1.627050643E2,1.014798706E3
1.627450401E2,1.014794983E3
1.627850401E2,1.014783752E3
1.628250417E2,1.014783752E3
1.628650405E2,1.014774963E3
1.629050665E2,1.014808716E3
1.629450376E2,1.014829956E3
1.629850448E2,1.014792480E3
1.630250427E2,1.014834961E3
1.630650441E2,1.014804993E3
1.631050424E2,1.014737488E3
1.631450406E2,1.014872498E3
1.631850410E2,1.014791199E3
1.632250696E2,1.014826233E3
1.632650870E2,1.014826233E3
1.633050405E2,1.014820007E3
1.633450367E2,1.014826233E3
1.633850362E2,1.014837463E3
1.634250327E2,1.014817505E3
1.634678380E2,1.014826233E3
1.635050621E2,1.014826233E3
1.635450643E2,1.014803711E3
1.635850404E2,1.014863708E3
1.636250521E2,1.014863708E3
1.636650755E2,1.014827454E3
1.637050342E2,1.014818726E3
1.637450414E2,1.014828735E3
1.637850314E2,1.014823730E3
1.638250968E2,1.014829956E3
1.638650317E2,1.014822449E3
1.639050518E2,1.014846252E3
1.639450713E2,1.014852478E3
1.639851168E2,1.014827454E3
1.640250623E2,1.014838745E3
1.640650641E2,1.014831238E3
1.641050664E2,1.014828735E3
1.641450487E2,1.014832458E3
1.641850401E2,1.014832458E3
1.642250655E2,1.014815002E3
1.642650750E2,1.014788757E3
1.643050397E2,1.014802490E3
1.643450326E2,1.014824951E3
1.643850417E2,1.014821228E3
1.644250417E2,1.014816223E3
1.644684397E2,1.014822449E3
1.645050407E2,1.014822449E3
1.645450705E2,1.014817505E3
1.645850407E2,1.014836243E3
1.646250321E2,1.014837463E3
1.646650611E2,1.014804993E3
1.647050322E2,1.014808716E3
