"Time (s)","X (hPa)"
2.233788625E2,1.015742111E3
2.243789965E2,1.015741043E3
2.253795755E2,1.015740433E3
2.263801545E2,1.015740280E3
2.273807255E2,1.015737686E3
2.283813025E2,1.015737534E3
2.293818805E2,1.015737381E3
2.303824555E2,1.015737381E3
2.313830315E2,1.015737991E3
2.323836125E2,1.015737991E3
2.333841825E2,1.015738678E3
2.343847605E2,1.015737991E3
2.353853395E2,1.015737991E3
2.363859165E2,1.015734329E3
2.373864925E2,1.015734329E3
2.383870645E2,1.015735474E3
2.393876465E2,1.015735474E3
2.403884115E2,1.015735474E3
2.413887975E2,1.015736008E3
2.423893725E2,1.015736008E3
2.433899465E2,1.015732880E3
2.443905315E2,1.015731354E3
2.453911075E2,1.015729218E3
2.463916815E2,1.015729218E3
2.473922525E2,1.015729904E3
2.483928335E2,1.015731049E3
2.493934055E2,1.015731430E3
2.503939845E2,1.015733643E3
2.513945675E2,1.015733643E3
2.523951365E2,1.015729675E3
2.533957145E2,1.015727310E3
2.543962925E2,1.015727310E3
2.553968665E2,1.015729141E3
2.563974455E2,1.015732803E3
2.573980175E2,1.015737000E3
2.583985955E2,1.015737000E3
2.593992125E2,1.015736923E3
2.603997495E2,1.015729218E3
2.614003295E2,1.015721512E3
2.624009025E2,1.015716858E3
2.634014815E2,1.015716858E3
2.644020595E2,1.015717239E3
2.654026355E2,1.015718460E3
2.664032125E2,1.015718842E3
2.674037835E2,1.015718842E3
2.684043615E2,1.015713043E3
2.694049425E2,1.015703812E3
2.704055175E2,1.015696106E3
2.714060965E2,1.015689774E3
2.724066695E2,1.015685577E3
2.734072465E2,1.015682983E3
2.744078275E2,1.015682983E3
2.754084025E2,1.015681458E3
2.764089735E2,1.015680923E3
2.774095555E2,1.015674362E3
2.784101315E2,1.015669098E3
2.794107065E2,1.015663986E3
2.804112835E2,1.015654984E3
2.814118555E2,1.015648041E3
2.824124395E2,1.015646591E3
2.834130095E2,1.015646591E3
2.844135875E2,1.015647888E3
2.854141695E2,1.015649338E3
2.864147415E2,1.015653992E3
2.874153185E2,1.015653992E3
2.884158995E2,1.015650253E3
2.894164685E2,1.015648193E3
2.904170465E2,1.015642471E3
2.914176245E2,1.015633011E3
2.924182005E2,1.015625458E3
2.934189865E2,1.015618820E3
2.944193565E2,1.015611343E3
2.954199305E2,1.015608749E3
2.964205115E2,1.015608749E3
2.974210885E2,1.015609665E3
2.984216575E2,1.015611343E3
2.994222425E2,1.015613556E3
3.004228165E2,1.015616074E3
3.014233915E2,1.015616913E3
3.024239665E2,1.015619125E3
3.034245435E2,1.015623093E3
3.044251255E2,1.015626068E3
3.054256985E2,1.015629120E3
3.064263855E2,1.015633011E3
3.074268535E2,1.015634232E3
3.084274245E2,1.015634232E3
3.094280005E2,1.015633926E3
3.104285815E2,1.015631561E3
3.114291575E2,1.015631256E3
3.124297285E2,1.015627747E3
3.134303095E2,1.015626450E3
3.144308915E2,1.015620575E3
3.154314655E2,1.015617142E3
3.164320425E2,1.015610733E3
3.174326165E2,1.015605392E3
3.184331905E2,1.015599136E3
3.194340765E2,1.015598907E3
3.204343445E2,1.015597458E3
3.214349235E2,1.015597229E3
3.224354965E2,1.015597458E3
3.234360725E2,1.015597458E3
3.244366515E2,1.015597763E3
3.254372285E2,1.015598831E3
3.264378035E2,1.015602570E3
3.274383795E2,1.015608978E3
3.284389605E2,1.015616302E3
3.294395345E2,1.015621872E3
3.304401145E2,1.015626526E3
3.314406865E2,1.015632019E3
3.324412625E2,1.015636215E3
3.334418395E2,1.015636520E3
3.344424125E2,1.015638351E3
3.354429975E2,1.015638351E3
