"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.019275083E0,3.898485005E-2,9.254849553E-1,-7.358033061E-1
3.039378083E0,-7.352422476E-1,4.347023070E-1,-8.890007138E-1
3.059480083E0,-1.070448875E0,-2.334557921E-1,-5.722161531E-1
3.079583083E0,-6.194512844E-1,-1.084969491E-1,1.488747895E-1
3.099685083E0,-9.906653315E-2,9.482768178E-2,7.282686234E-1
3.119788083E0,6.456327159E-3,4.506836534E-1,1.024672031E0
3.139890083E0,-2.726698816E-1,5.080937743E-1,9.805712104E-1
3.159993083E0,-7.812017202E-1,2.900569737E-1,6.912913322E-1
3.180095083E0,-1.091533422E0,2.057674900E-2,3.774553835E-1
3.200198083E0,-1.134181261E0,-2.999481559E-2,1.611310542E-1
3.220300083E0,-8.804081082E-1,1.460746080E-1,4.182024673E-2
3.240403083E0,-7.307828665E-1,2.003369331E-1,-9.066575766E-2
3.260506083E0,-5.507647991E-1,1.225021854E-1,-2.226524204E-1
3.280608083E0,-1.533491015E-1,1.530666202E-1,-2.915666401E-1
3.300711083E0,2.770085633E-1,3.603392243E-1,-3.239939511E-1
3.320813083E0,4.358724058E-1,8.576148003E-2,-3.350710869E-1
3.340916083E0,4.360125959E-1,-4.756869376E-1,-3.301884830E-1
3.361018083E0,3.083891273E-1,-8.077297211E-1,-2.282830030E-1
3.381121083E0,1.219943762E-1,-8.285653591E-1,-4.688618705E-2
3.401224083E0,2.039582655E-2,-9.133810401E-1,1.462522447E-1
3.421326083E0,5.419292301E-2,-9.571413398E-1,3.507063389E-1
3.441429083E0,3.368427232E-2,-1.043770909E0,3.777873218E-1
3.461531083E0,-6.711761467E-3,-1.017563820E0,2.799931169E-1
3.481634083E0,-6.277442724E-2,-6.842579842E-1,1.095380411E-1
3.501736083E0,-3.472052813E-1,-1.861094385E-1,-1.209257916E-1
3.521839083E0,-6.993256807E-1,2.232487649E-1,-2.973245382E-1
3.541941083E0,-9.379229546E-1,2.015316188E-1,-3.928575516E-1
3.562044083E0,-9.539743066E-1,-4.745303467E-2,-1.831430942E-1
3.582147083E0,-8.229140043E-1,-2.072108686E-1,1.056190655E-1
3.602249083E0,-7.690715790E-1,-1.235649809E-1,2.408115119E-1
3.622352083E0,-7.204322815E-1,3.776785359E-2,2.422052771E-1
3.642454083E0,-6.194918752E-1,1.702751666E-1,2.021714449E-1
3.662557083E0,-5.565840006E-1,3.128004968E-1,1.645184755E-1
3.682660083E0,-4.963453114E-1,3.866966665E-1,1.109509841E-1
3.702762083E0,-4.663576186E-1,3.757320642E-1,8.795391768E-2
3.722865083E0,-4.897646606E-1,3.481793702E-1,9.401328117E-2
3.742967083E0,-4.226083755E-1,3.111671507E-1,1.358143836E-1
3.763070083E0,-2.458396405E-1,2.745851874E-1,2.209897339E-1
3.783172083E0,1.736458205E-2,2.537903190E-1,3.475153148E-1
3.803275083E0,3.311655223E-1,1.872003525E-1,4.687517285E-1
3.823378083E0,6.076494455E-1,5.015954375E-2,5.158005953E-1
3.843480083E0,8.534088135E-1,-3.684299812E-2,4.527398646E-1
3.863583333E0,1.174907684E0,-1.677885056E-1,2.785776556E-1
3.883685333E0,1.533604860E0,-2.117146701E-1,1.391385347E-1
3.903788333E0,1.754119635E0,2.156425081E-2,2.573012710E-1
3.923891333E0,1.467932105E0,1.773641109E-1,7.051111460E-1
3.943993333E0,6.398112178E-1,1.545555890E-1,9.688212276E-1
3.964096333E0,-3.909478486E-1,5.414058566E-1,5.174691677E-1
3.984198333E0,-9.094006419E-1,1.965676099E-1,1.817830093E-2
4.004301333E0,-1.045415759E0,-8.715517819E-2,-1.751347035E-1
4.024404333E0,-6.345909834E-1,-9.142555296E-2,-1.509340256E-1
4.044506333E0,-2.160568386E-1,-6.805073470E-3,-3.359501436E-2
4.064609333E0,4.971280694E-2,1.398320496E-1,1.031252816E-1
4.084711333E0,1.787548810E-1,3.320205212E-1,1.840618104E-1
4.104814333E0,1.175718978E-1,3.388184905E-1,1.862725019E-1
4.124917333E0,8.050979674E-2,3.973878026E-1,2.170056403E-1
4.145019333E0,2.743418794E-3,4.558415413E-1,3.059259355E-1
4.165122333E0,-9.095720202E-2,4.266468883E-1,3.887888789E-1
4.185225333E0,-9.792218357E-2,2.223448902E-1,3.861635029E-1
4.205327333E0,-5.849593133E-2,-6.132758223E-3,2.870928645E-1
4.225430333E0,5.030259490E-4,-1.652218848E-1,9.475789219E-2
4.245532333E0,2.816371620E-2,-1.686487049E-1,-1.881897748E-1
4.265635333E0,4.118087515E-2,-3.741810843E-2,-5.374131799E-1
4.285738333E0,5.700532719E-2,7.479151338E-2,-8.706017733E-1
4.305840333E0,1.064848751E-1,1.438239813E-1,-1.097991705E0
4.325943333E0,2.150828242E-1,2.580373585E-1,-1.185804844E0
4.346045333E0,3.089768887E-1,4.523001909E-1,-1.082893491E0
4.366148333E0,3.754764795E-1,5.584802032E-1,-8.810541034E-1
4.386251333E0,3.407548070E-1,5.289174914E-1,-7.800599337E-1
4.406353333E0,1.714172773E-2,3.805000484E-1,-6.386404634E-1
4.426456333E0,-3.559702635E-1,1.915074885E-1,-2.280374616E-1
4.446559333E0,-5.308040977E-1,-6.841437519E-2,2.753681540E-1
4.466661333E0,-5.723127127E-1,-3.066657186E-1,5.135457516E-1
4.486764333E0,-5.181835890E-1,-3.706561327E-1,4.758273661E-1
4.506867333E0,-4.234130383E-1,-3.134244084E-1,2.926733792E-1
4.526969333E0,-2.765762210E-1,-1.784294248E-1,8.987032622E-2
4.547072333E0,-1.358996630E-1,4.777494818E-2,-4.100059718E-2
4.567174333E0,-9.986372292E-2,2.056059837E-1,-1.289127469E-1
4.587277333E0,-1.150886938E-1,2.499076724E-1,-2.096531391E-1
4.607380333E0,-1.523610502E-1,2.180252373E-1,-2.893677950E-1
4.627482333E0,-1.332617998E-1,1.139088273E-1,-3.692204356E-1
4.647585333E0,-2.289118171E-1,-2.732379735E-2,-3.850807548E-1
4.667688333E0,-3.540697396E-1,-2.082989216E-1,-3.311115205E-1
4.687790333E0,-4.439072907E-1,-3.777236342E-1,-2.263680696E-1
4.707893333E0,-4.798245728E-1,-3.448100388E-1,-1.695134342E-1
4.727996333E0,-3.923209310E-1,-1.212953031E-1,-7.678070664E-2
4.748098333E0,-3.688422590E-2,3.016709983E-1,1.036808193E-1
4.768201333E0,7.267947793E-1,1.075641036E0,3.296178281E-1
4.788304333E0,1.500064254E0,1.759438276E0,5.367201567E-1
4.808406333E0,2.259271622E0,1.995567679E0,7.532258034E-1
4.828509333E0,1.660098195E0,3.069577813E-1,1.021643281E0
4.848611333E0,1.418739200E0,-6.712480783E-1,1.232264638E0
4.868714208E0,9.436202645E-1,-1.252532363E0,1.274222255E0
4.888817208E0,-2.474865876E-2,-8.070718050E-1,9.588805437E-1
4.908919208E0,-5.238393545E-1,-6.117771268E-1,8.697760105E-1
4.929022208E0,-5.980734825E-1,-6.733396649E-1,9.216235876E-1
4.949125208E0,-4.262912273E-1,-7.255686522E-1,9.430136681E-1
4.969227208E0,-2.342734188E-1,-8.475759625E-1,8.772622943E-1
