"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.151542083E0,3.778143311E-1,-7.915539551E0,6.834487610E0
3.171644083E0,6.125262451E-1,-6.186784515E0,6.277645569E0
3.191747083E0,7.545808411E-1,-4.562811584E0,5.018014984E0
3.211849083E0,9.288185120E-1,-3.452420654E0,4.026027832E0
3.231952083E0,7.828720093E-1,-3.218457184E0,3.537443848E0
3.252054083E0,5.921685791E-1,-2.923121338E0,3.335813141E0
3.272157083E0,1.286724243E0,-2.743494873E0,2.894381104E0
3.292259083E0,1.790576477E0,-3.609893188E0,2.262395325E0
3.312362083E0,1.959425354E0,-4.991969147E0,3.981570282E0
3.332465083E0,2.005379791E0,-6.273154907E0,6.702911224E0
3.352567083E0,2.087409210E0,-7.238048401E0,7.111860809E0
3.372670083E0,2.781665497E0,-7.221133575E0,6.222560120E0
3.392772083E0,3.593128052E0,-6.932683411E0,7.003486176E0
3.412875083E0,4.405638428E0,-6.589147797E0,7.953859863E0
3.432977083E0,4.938530273E0,-6.382727051E0,7.422614594E0
3.453080083E0,4.849465485E0,-7.314090271E0,8.068072357E0
3.473182083E0,4.969815216E0,-8.815168762E0,7.253915405E0
3.493285083E0,4.295916595E0,-1.061307999E1,5.824537811E0
3.513388083E0,2.653981018E0,-1.243703705E1,4.816683655E0
3.543541083E0,1.092727661E-1,-1.473386078E1,6.141578522E0
3.563644083E0,-1.177002411E0,-1.479777786E1,6.292464752E0
3.583747083E0,-6.619235229E-1,-1.421024963E1,5.632337494E0
3.603849083E0,6.927593994E-1,-1.107486969E1,4.699178009E0
3.623952083E0,1.623224487E0,-7.983049164E0,3.808230743E0
3.644054083E0,1.924098816E0,-5.560786285E0,3.457809448E0
3.664157083E0,2.159110107E0,-4.074526978E0,3.205583954E0
3.684260083E0,2.142344971E0,-3.340154114E0,3.585493927E0
3.704362083E0,1.992356873E0,-3.136727142E0,3.541186066E0
3.724465083E0,2.221230927E0,-3.510948944E0,2.890339508E0
3.744567083E0,2.613714752E0,-4.008364563E0,2.614313507E0
3.764670083E0,3.015928345E0,-4.552333374E0,2.785108337E0
3.784772083E0,3.412902832E0,-4.976850586E0,3.090173950E0
3.804875083E0,3.230881348E0,-5.358856201E0,3.828887787E0
3.824978083E0,3.280877380E0,-5.298232269E0,4.596192169E0
