"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.767452983E1,4.640237808E1,2.107267761E1,3.359206390E1
8.769463383E1,4.532028198E1,2.020052338E1,3.442205048E1
8.771473683E1,4.471929169E1,2.019729614E1,3.416847229E1
8.773484083E1,4.532620239E1,2.048997879E1,3.380051041E1
8.775494383E1,4.649263000E1,2.143984222E1,3.392602539E1
8.777504783E1,4.767402267E1,2.220649719E1,3.471493912E1
8.779515183E1,4.874796295E1,2.293010712E1,3.528329468E1
8.781525483E1,4.945465851E1,2.345231628E1,3.582325363E1
8.783535883E1,4.973186111E1,2.366206360E1,3.777177429E1
8.785546283E1,4.948446274E1,2.331591797E1,3.907041168E1
8.787556583E1,4.905022049E1,2.286740112E1,3.986482239E1
8.789566983E1,4.897084427E1,2.289652252E1,4.007312393E1
8.791577283E1,4.942207336E1,2.309571075E1,4.037700653E1
8.793587683E1,5.013784027E1,2.359368134E1,4.049112701E1
8.795598000E1,5.121907806E1,2.412613678E1,4.027242279E1
8.797608300E1,5.232350922E1,2.479953766E1,3.940295029E1
8.799618700E1,5.350331497E1,2.526058960E1,3.947974396E1
8.801629100E1,5.402741623E1,2.553359985E1,3.866616440E1
8.803639400E1,5.417681503E1,2.585781860E1,3.819224167E1
8.805649800E1,5.409887314E1,2.539736176E1,3.729774094E1
8.807660100E1,5.385231781E1,2.516715240E1,3.635909653E1
8.809670500E1,5.231613541E1,2.419471741E1,3.466069031E1
8.811680900E1,4.981791687E1,2.211724854E1,3.416688538E1
8.813691200E1,4.739798737E1,2.119348145E1,3.242641068E1
8.815701600E1,4.565696716E1,2.055662537E1,3.206033325E1
8.817711900E1,4.517303085E1,2.129056549E1,3.205072784E1
8.819722300E1,4.559802246E1,2.241710663E1,3.227228546E1
8.821732700E1,4.670505524E1,2.351594543E1,3.183893585E1
8.823743000E1,4.784563446E1,2.408349609E1,3.151508713E1
8.825753400E1,4.914215469E1,2.482254791E1,3.099534035E1
8.827763800E1,4.981016159E1,2.552082825E1,3.090312195E1
8.829774100E1,5.011618805E1,2.597785187E1,3.034254646E1
8.831784500E1,5.058000946E1,2.616918945E1,3.011561966E1
8.833794800E1,5.019884872E1,2.641756439E1,3.020397377E1
8.835805200E1,5.026643372E1,2.635553741E1,3.004949570E1
8.837815600E1,5.019752502E1,2.640507507E1,2.981999016E1
8.839825900E1,5.042332840E1,2.667149353E1,2.920494080E1
8.841836300E1,5.028407669E1,2.675247955E1,2.920168114E1
8.843846700E1,5.010625458E1,2.649807739E1,2.953628349E1
8.845857000E1,4.996372223E1,2.643685150E1,2.929664993E1
8.847867400E1,4.869100952E1,2.616387177E1,2.899588585E1
8.849877700E1,4.755407333E1,2.563588715E1,2.805084991E1
8.851888100E1,4.643398285E1,2.503656769E1,2.686081314E1
8.853898500E1,4.583921432E1,2.442440796E1,2.651856995E1
8.855908800E1,4.537290573E1,2.384321594E1,2.596941948E1
8.857919200E1,4.489317322E1,2.321843719E1,2.608617783E1
8.859929600E1,4.390119553E1,2.250550842E1,2.663973618E1
8.861939900E1,4.323481750E1,2.194909668E1,2.666955376E1
8.863950300E1,4.282793427E1,2.138092804E1,2.685414124E1
8.865960600E1,4.285784531E1,2.105384827E1,2.677470589E1
8.867971000E1,4.312758636E1,2.161309052E1,2.692580414E1
8.869981400E1,4.402298355E1,2.218685150E1,2.731904221E1
8.871991700E1,4.488867950E1,2.273475647E1,2.849619293E1
8.874002100E1,4.606076813E1,2.326246643E1,2.972418594E1
8.876012500E1,4.663901520E1,2.333697510E1,3.089648056E1
8.878022800E1,4.678730774E1,2.331790924E1,3.150622368E1
8.880033200E1,4.639503479E1,2.280628204E1,3.211606979E1
8.882043500E1,4.671469498E1,2.273754120E1,3.256983948E1
8.884053900E1,4.703930283E1,2.250210571E1,3.294034576E1
8.886064300E1,4.773088837E1,2.243367004E1,3.356111908E1
8.888074600E1,4.814862061E1,2.265879822E1,3.329521179E1
8.890085000E1,4.886480331E1,2.221688080E1,3.273258591E1
8.892095400E1,4.970279694E1,2.246823883E1,3.263166428E1
8.894105721E1,5.063462830E1,2.261855316E1,3.228498077E1
8.896116121E1,5.129254150E1,2.268088531E1,3.153942490E1
8.898126421E1,5.169499969E1,2.225830078E1,3.130324173E1
8.900136821E1,5.123493958E1,2.151007080E1,3.054473114E1
8.902147221E1,4.961107254E1,2.031379700E1,2.968415451E1
8.904157521E1,4.616130066E1,1.778526688E1,2.896699715E1
8.906167921E1,4.220502853E1,1.552539062E1,2.761102104E1
8.908178221E1,4.253544617E1,1.547766495E1,2.765249062E1
8.910188621E1,4.358865356E1,1.633068848E1,2.774474907E1
8.912199021E1,4.512916565E1,1.749872208E1,2.816170120E1
8.914209321E1,4.670285034E1,1.823990631E1,2.859165573E1
8.916219721E1,4.807061386E1,1.844110489E1,2.847743034E1
8.918230121E1,4.885576248E1,1.880764008E1,2.834188080E1
8.920240421E1,4.937063599E1,1.901867294E1,2.826146698E1
8.922250821E1,4.933708954E1,1.896227264E1,2.866350174E1
8.924261121E1,4.971416092E1,1.885932922E1,2.924877930E1
8.926271521E1,5.007667542E1,1.839812088E1,2.929656982E1
8.928281921E1,5.060520172E1,1.843276215E1,2.917215538E1
8.930292221E1,5.100881577E1,1.861879349E1,2.815092850E1
8.932302621E1,5.128734589E1,1.839921570E1,2.818084717E1
8.934313021E1,5.115390396E1,1.823879242E1,2.801658630E1
8.936323321E1,5.045365906E1,1.769233322E1,2.815755272E1
8.938333721E1,4.946284103E1,1.688250351E1,2.806047440E1
8.940344021E1,4.810429764E1,1.611831284E1,2.737934875E1
8.942354421E1,4.764907837E1,1.597555542E1,2.693105888E1
8.944364821E1,4.716655350E1,1.564028931E1,2.654161072E1
8.946375121E1,4.624409485E1,1.524956131E1,2.601874161E1
8.948385521E1,4.574778748E1,1.452100372E1,2.586573410E1
8.950395921E1,4.481452942E1,1.436156464E1,2.655080032E1
8.952406221E1,4.408993530E1,1.373954391E1,2.734154129E1
8.954416621E1,4.417816925E1,1.349111176E1,2.750150871E1
8.956426921E1,4.480527115E1,1.427600098E1,2.790261841E1
8.958437321E1,4.599644089E1,1.487567520E1,2.858186913E1
8.960447721E1,4.735349274E1,1.592064667E1,2.962523842E1
8.962458021E1,4.852030945E1,1.669832611E1,3.073128319E1
8.964468421E1,4.895700073E1,1.649273682E1,3.193508148E1
8.966478821E1,4.939259720E1,1.612916183E1,3.331529617E1
8.968489121E1,4.927168274E1,1.591532516E1,3.347405243E1
8.970499521E1,4.938457108E1,1.583557510E1,3.342246246E1
8.972509821E1,4.956010437E1,1.574502945E1,3.363004684E1
8.974520221E1,4.999060059E1,1.566240311E1,3.378413010E1
8.976530621E1,5.028269196E1,1.590787888E1,3.363214874E1
