"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.875939822E1,3.211642438E1,1.189557078E2,2.018915108E1,8.496024013E-1,3.455796678E2,6.008533977E0,6.008533977E0
8.975936425E1,3.211643607E1,1.189557094E2,2.023930967E1,8.921244740E-1,3.467835158E2,5.895788466E0,5.895788466E0
9.075933063E1,3.211645210E1,1.189557135E2,2.030633584E1,1.091345310E0,3.502361576E2,5.806305924E0,5.806305924E0
9.175929677E1,3.211646108E1,1.189557118E2,2.035518392E1,9.721537828E-1,3.489223844E2,5.758326471E0,5.758326471E0
9.275926232E1,3.211646884E1,1.189557092E2,2.037066520E1,1.028984666E0,3.439617985E2,5.802259086E0,5.802259086E0
9.375922847E1,3.211648779E1,1.189557015E2,2.042258001E1,1.028984666E0,3.566117824E2,5.751348778E0,5.751348778E0
9.475919402E1,3.211650641E1,1.189557033E2,2.043539717E1,1.014588356E0,3.465125731E2,5.792399184E0,5.792399184E0
9.575915980E1,3.211652124E1,1.189557027E2,2.045036443E1,1.363714814E0,3.505120868E2,5.690165375E0,5.690165375E0
9.675912440E1,3.211653837E1,1.189557006E2,2.045857311E1,1.336100698E0,3.531646986E2,5.661387784E0,5.661387784E0
9.775908983E1,3.211655452E1,1.189556979E2,2.045286114E1,1.336100698E0,3.512529286E2,5.676056332E0,5.676056332E0
9.875905526E1,3.211657046E1,1.189556989E2,2.045064855E1,1.266481757E0,3.478549087E2,5.644095541E0,5.644095541E0
9.975901973E1,3.211658288E1,1.189556982E2,2.050173947E1,1.066523790E0,7.064975264E-1,5.583962759E0,5.583962759E0
1.007589855E2,3.211659332E1,1.189556900E2,2.051455569E1,1.321507692E0,3.525638045E2,5.631354227E0,5.631354227E0
1.017589495E2,3.211659725E1,1.189556822E2,2.055763713E1,1.222379208E0,3.425257234E2,5.767566732E0,5.767566732E0
1.027589148E2,3.211660234E1,1.189556744E2,2.062459948E1,1.222379208E0,3.410677752E2,5.867745290E0,5.867745290E0
1.037588801E2,3.211661443E1,1.189556701E2,2.065247799E1,9.840373397E-1,3.408020659E2,5.840945076E0,5.840945076E0
1.047588446E2,3.211662911E1,1.189556709E2,2.065360099E1,1.023580790E0,3.507433541E2,5.809779310E0,5.809779310E0
1.057588096E2,3.211664614E1,1.189556673E2,2.064229952E1,1.284703851E0,3.492203630E2,5.797978241E0,5.797978241E0
1.067587734E2,3.211666253E1,1.189556588E2,2.064992314E1,1.284703851E0,3.416176778E2,5.906948356E0,5.906948356E0
1.077587388E2,3.211668015E1,1.189556533E2,2.068223613E1,1.339997053E0,3.465217616E2,5.907574167E0,5.907574167E0
1.087587036E2,3.211669443E1,1.189556582E2,2.071486236E1,1.339997053E0,3.476606713E2,5.836751269E0,5.836751269E0
1.097586671E2,3.211670623E1,1.189556583E2,2.076936171E1,1.264836073E0,3.449359360E2,5.708088851E0,5.708088851E0
1.107586325E2,3.211671985E1,1.189556566E2,2.084257317E1,1.264836073E0,3.428129913E2,5.734845390E0,5.734845390E0
1.117585957E2,3.211673399E1,1.189556555E2,2.089688465E1,1.249731541E0,3.472449183E2,5.654405225E0,5.654405225E0
1.127585603E2,3.211674976E1,1.189556522E2,2.095948026E1,1.242189169E0,3.528497645E2,5.611355400E0,5.611355400E0
