"Time (s)","Pressure (hPa)"
1.800724600E2,1.019777832E3
1.801524584E2,1.019787598E3
1.802324584E2,1.019758789E3
1.803124600E2,1.019740234E3
1.803924600E2,1.019768555E3
1.804724584E2,1.019797852E3
1.805524600E2,1.019781738E3
1.806324584E2,1.019761719E3
1.807124600E2,1.019732910E3
1.807924584E2,1.019703613E3
1.808724600E2,1.019689453E3
1.809524584E2,1.019718262E3
1.810324600E2,1.019735840E3
1.811124600E2,1.019732910E3
1.811924600E2,1.019748047E3
1.812724600E2,1.019719238E3
1.813524600E2,1.019728027E3
1.814324600E2,1.019750488E3
1.815124600E2,1.019779785E3
1.815924600E2,1.019776855E3
1.816724600E2,1.019780273E3
1.817524600E2,1.019751465E3
1.818324584E2,1.019751465E3
1.819124584E2,1.019722168E3
1.819924584E2,1.019727051E3
1.820724600E2,1.019742188E3
1.821524600E2,1.019757812E3
1.822324600E2,1.019755371E3
1.823124600E2,1.019736816E3
1.823924584E2,1.019736816E3
1.824724600E2,1.019754883E3
1.825524600E2,1.019783691E3
1.826324600E2,1.019797363E3
1.827124600E2,1.019783203E3
1.827924600E2,1.019753906E3
1.828724600E2,1.019725098E3
1.829524584E2,1.019696289E3
1.830324584E2,1.019722168E3
1.831124584E2,1.019742188E3
1.831924584E2,1.019754883E3
1.832724600E2,1.019731445E3
1.833524600E2,1.019731445E3
1.834324600E2,1.019731445E3
1.835124600E2,1.019744141E3
1.835924584E2,1.019769531E3
1.836724584E2,1.019764648E3
1.837524584E2,1.019772461E3
1.838324584E2,1.019743164E3
1.839124584E2,1.019730469E3
1.839924584E2,1.019701660E3
1.840724600E2,1.019708984E3
1.841524600E2,1.019737305E3
1.842324600E2,1.019759277E3
1.843124600E2,1.019746582E3
1.843924600E2,1.019726562E3
1.844724584E2,1.019726562E3
1.845524600E2,1.019755371E3
1.846324584E2,1.019784180E3
1.847124600E2,1.019796387E3
1.847924600E2,1.019767578E3
1.848724584E2,1.019738770E3
1.849524584E2,1.019709961E3
1.850324600E2,1.019680664E3
1.851124600E2,1.019692383E3
1.851924584E2,1.019710449E3
1.852724600E2,1.019738770E3
1.853524584E2,1.019752930E3
1.854324584E2,1.019724121E3
1.855124600E2,1.019752930E3
1.855924600E2,1.019781738E3
1.856724600E2,1.019800781E3
1.857524584E2,1.019783203E3
1.858324584E2,1.019754395E3
1.859124600E2,1.019725586E3
1.859924600E2,1.019696777E3
1.860724600E2,1.019670898E3
1.861524600E2,1.019699707E3
1.862324600E2,1.019719727E3
1.863124616E2,1.019735352E3
1.863924600E2,1.019717285E3
1.864724600E2,1.019688477E3
1.865524600E2,1.019714844E3
1.866324600E2,1.019743652E3
1.867124600E2,1.019772461E3
1.867924600E2,1.019784180E3
1.868724584E2,1.019755859E3
1.869524584E2,1.019727051E3
1.870324600E2,1.019698242E3
1.871124600E2,1.019683594E3
1.871924584E2,1.019687012E3
1.872724600E2,1.019703125E3
1.873524600E2,1.019731934E3
1.874324600E2,1.019742676E3
1.875124616E2,1.019713867E3
1.875924600E2,1.019742676E3
1.876724600E2,1.019771484E3
1.877524600E2,1.019770996E3
1.878324600E2,1.019770996E3
1.879124600E2,1.019742188E3
1.879924600E2,1.019713379E3
1.880724616E2,1.019684570E3
1.881524600E2,1.019707520E3
1.882324616E2,1.019716309E3
1.883124616E2,1.019745117E3
1.883924600E2,1.019735352E3
1.884724600E2,1.019706543E3
1.885524600E2,1.019693359E3
1.886324600E2,1.019722168E3
1.887124616E2,1.019750977E3
1.887924600E2,1.019764648E3
1.888724616E2,1.019756348E3
1.889524600E2,1.019727051E3
1.890324600E2,1.019698242E3
1.891124600E2,1.019679688E3
1.891924600E2,1.019701172E3
1.892724600E2,1.019725098E3
1.893524600E2,1.019707520E3
1.894324600E2,1.019710449E3
1.895124600E2,1.019702148E3
1.895924600E2,1.019724609E3
1.896724600E2,1.019753418E3
1.897524600E2,1.019755859E3
1.898324600E2,1.019780762E3
1.899124600E2,1.019769043E3
1.899924600E2,1.019740234E3
1.900724600E2,1.019710938E3
1.901524600E2,1.019695312E3
1.902324600E2,1.019717773E3
1.903124600E2,1.019715332E3
1.903924600E2,1.019724609E3
1.904724600E2,1.019713867E3
1.905524600E2,1.019685059E3
1.906324584E2,1.019709473E3
1.907124584E2,1.019733887E3
1.907924600E2,1.019762695E3
1.908724584E2,1.019762207E3
1.909524584E2,1.019759766E3
1.910324600E2,1.019730469E3
1.911124584E2,1.019730469E3
1.911924584E2,1.019701660E3
1.912724600E2,1.019673340E3
1.913524584E2,1.019702148E3
1.914324584E2,1.019718262E3
1.915124600E2,1.019718262E3
1.915924600E2,1.019729492E3
1.916724600E2,1.019700684E3
1.917524600E2,1.019693359E3
1.918324600E2,1.019714844E3
1.919124600E2,1.019743652E3
1.919924600E2,1.019749512E3
1.920724600E2,1.019757812E3
1.921524600E2,1.019729004E3
1.922324584E2,1.019700195E3
1.923124600E2,1.019670898E3
1.923924600E2,1.019685547E3
1.924724600E2,1.019691406E3
1.925524600E2,1.019720703E3
1.926324600E2,1.019716797E3
1.927124600E2,1.019687988E3
1.927924600E2,1.019699219E3
1.928724600E2,1.019728027E3
1.929524600E2,1.019756836E3
1.930324600E2,1.019770020E3
1.931124600E2,1.019753906E3
1.931924600E2,1.019725098E3
1.932724600E2,1.019710449E3
1.933524584E2,1.019681641E3
1.934324600E2,1.019710449E3
1.935124600E2,1.019727539E3
1.935924584E2,1.019727539E3
1.936724584E2,1.019729004E3
1.937524584E2,1.019700195E3
1.938324584E2,1.019700195E3
1.939124600E2,1.019722168E3
1.939924584E2,1.019734375E3
1.940724600E2,1.019753418E3
1.941524584E2,1.019743164E3
1.942324584E2,1.019743164E3
1.943124600E2,1.019714355E3
1.943924584E2,1.019699707E3
1.944724584E2,1.019691406E3
1.945524600E2,1.019712891E3
1.946324584E2,1.019726562E3
1.947124584E2,1.019734375E3
1.947924584E2,1.019716309E3
1.948724600E2,1.019716309E3
1.949524600E2,1.019718262E3
1.950324600E2,1.019739258E3
1.951124584E2,1.019754883E3
1.951924584E2,1.019776855E3
1.952724584E2,1.019757812E3
1.953524584E2,1.019745605E3
1.954324600E2,1.019716797E3
1.955124600E2,1.019687500E3
1.955924600E2,1.019686523E3
1.956724584E2,1.019710449E3
1.957524584E2,1.019736328E3
1.958324584E2,1.019728516E3
1.959124600E2,1.019702148E3
1.959924584E2,1.019702148E3
1.960724600E2,1.019717285E3
1.961524600E2,1.019730957E3
1.962324600E2,1.019739746E3
1.963124600E2,1.019759766E3
1.963924584E2,1.019730957E3
1.964724584E2,1.019702148E3
1.965524600E2,1.019672852E3
1.966324600E2,1.019672852E3
1.967124600E2,1.019702148E3
1.967924600E2,1.019708984E3
1.968724600E2,1.019698730E3
1.969524600E2,1.019707031E3
1.970324600E2,1.019678223E3
1.971124600E2,1.019682129E3
1.971924584E2,1.019710938E3
1.972724584E2,1.019713867E3
1.973524600E2,1.019732910E3
1.974324600E2,1.019743164E3
1.975124600E2,1.019743164E3
1.975924600E2,1.019728516E3
1.976724600E2,1.019717285E3
1.977524600E2,1.019741211E3
1.978324584E2,1.019741699E3
1.979124631E2,1.019741699E3
1.979924600E2,1.019713379E3
1.980724600E2,1.019684570E3
1.981524600E2,1.019691895E3
1.982324600E2,1.019720703E3
1.983124584E2,1.019749512E3
1.983924584E2,1.019746582E3
1.984724584E2,1.019734863E3
1.985524600E2,1.019706055E3
1.986324600E2,1.019676758E3
1.987124600E2,1.019662598E3
1.987924600E2,1.019681641E3
1.988724600E2,1.019704102E3
1.989524600E2,1.019733398E3
1.990324584E2,1.019728027E3
1.991124616E2,1.019698730E3
1.991924600E2,1.019689941E3
1.992724600E2,1.019718750E3
1.993524600E2,1.019728516E3
1.994324600E2,1.019732910E3
1.995124600E2,1.019721680E3
1.995924600E2,1.019692871E3
