"Time (s)","Pressure (hPa)"
1.880124584E2,1.019256348E3
1.880924584E2,1.019256348E3
1.881724584E2,1.019227051E3
1.882524584E2,1.019198242E3
1.883324584E2,1.019194824E3
1.884124584E2,1.019220215E3
1.884924584E2,1.019207520E3
1.885724584E2,1.019236816E3
1.886524584E2,1.019260254E3
1.887324584E2,1.019231934E3
1.888124584E2,1.019224121E3
1.888924584E2,1.019219727E3
1.889724584E2,1.019234863E3
1.890524584E2,1.019219238E3
1.891324584E2,1.019248535E3
1.892124584E2,1.019259277E3
1.892924584E2,1.019249512E3
1.893724584E2,1.019220703E3
1.894524584E2,1.019239258E3
1.895324584E2,1.019256836E3
1.896124584E2,1.019227539E3
1.896924584E2,1.019256836E3
1.897724584E2,1.019260254E3
1.898524584E2,1.019260254E3
1.899324584E2,1.019231445E3
1.900124584E2,1.019225586E3
1.900924600E2,1.019225586E3
1.901724584E2,1.019218262E3
1.902524584E2,1.019225586E3
1.903324584E2,1.019250488E3
1.904124584E2,1.019226074E3
1.904924584E2,1.019197266E3
1.905724584E2,1.019197266E3
1.906524584E2,1.019212402E3
1.907324600E2,1.019207031E3
1.908124600E2,1.019217285E3
1.908924600E2,1.019246094E3
1.909724600E2,1.019246094E3
1.910524600E2,1.019217285E3
1.911324600E2,1.019213379E3
1.912124584E2,1.019208008E3
1.912924584E2,1.019217773E3
1.913724584E2,1.019230957E3
1.914524600E2,1.019259766E3
1.915324584E2,1.019267090E3
1.916124584E2,1.019238281E3
1.916924584E2,1.019209473E3
1.917724584E2,1.019216797E3
1.918524584E2,1.019210449E3
1.919324584E2,1.019230469E3
1.920124584E2,1.019259766E3
1.920924584E2,1.019270508E3
1.921724584E2,1.019251953E3
1.922524584E2,1.019222656E3
1.923324584E2,1.019193848E3
1.924124584E2,1.019215820E3
1.924924584E2,1.019228027E3
1.925724584E2,1.019256836E3
1.926524584E2,1.019275391E3
1.927324584E2,1.019248047E3
1.928124584E2,1.019219238E3
1.928924584E2,1.019248047E3
1.929724584E2,1.019258301E3
1.930524584E2,1.019245117E3
1.931324584E2,1.019216309E3
1.932124584E2,1.019204590E3
1.932924584E2,1.019176270E3
1.933724584E2,1.019193848E3
1.934524584E2,1.019219238E3
1.935324584E2,1.019248047E3
1.936124584E2,1.019245117E3
1.936924584E2,1.019238770E3
1.937724584E2,1.019234375E3
1.938524584E2,1.019220215E3
1.939324569E2,1.019231445E3
