"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.769481562E0,-5.761506557E-1,-3.889291584E-1,3.950727284E-1
2.791481562E0,-1.316693783E0,-1.016357541E0,7.080451846E-1
2.813480000E0,-1.467368126E0,-1.187417269E0,8.219628334E-1
2.833481562E0,-1.267126441E0,-9.287943840E-1,7.629532218E-1
2.853481562E0,-6.934542060E-1,-6.879215240E-1,6.692639589E-1
2.873481562E0,-5.419072509E-1,-2.349736691E-1,4.740139842E-1
2.893481562E0,-5.403364897E-1,2.968979478E-1,5.149070621E-1
2.913481562E0,-2.588846982E-1,6.483898163E-1,5.784718990E-1
2.933481562E0,-2.611012571E-2,1.120710850E0,1.047023058E0
2.953481562E0,-6.523342729E-1,1.345003128E0,1.169178605E0
2.973481562E0,-1.068839654E-1,3.322932422E-1,1.300305247E0
2.993481562E0,7.470009476E-2,-3.513347730E-2,5.814389586E-1
3.013481562E0,5.661324263E-1,1.550707579E0,-7.211002111E-1
3.033481562E0,5.486093163E-1,1.544022918E0,-1.891238838E-1
3.053481562E0,8.318239450E-2,1.233005285E0,4.381474555E-1
3.073481562E0,3.420845419E-2,4.582885504E-1,4.170289636E-1
3.093481562E0,2.834414691E-2,-1.523846984E-1,-4.007275775E-2
3.113481562E0,3.853163421E-1,-7.695330977E-1,5.745624006E-2
3.133481562E0,3.162536621E-1,-8.251742125E-1,1.894903928E-1
3.153481562E0,3.545112908E-1,-5.882632136E-1,-1.061334684E-1
3.173481562E0,7.468264103E-1,-8.027816415E-1,1.339191198E-1
3.193481562E0,1.283096194E0,-1.701538920E0,2.937912643E-1
3.213486250E0,1.866873980E0,-2.465626717E0,1.231870890E0
3.235480000E0,2.263953924E0,-2.889410019E0,1.273479462E0
3.255480000E0,3.168156624E0,-3.282335997E0,1.061823368E0
3.275481562E0,1.330865860E0,-4.066355228E0,3.780732155E-1
3.295481562E0,4.444480836E-1,-4.128227234E0,1.206877708E0
3.315481562E0,6.216513515E-1,-4.110058308E0,1.104095340E0
3.337480000E0,1.617763162E0,-2.491178274E0,-5.738642439E-2
3.357480000E0,2.811673164E0,-1.482692122E0,-1.245309830E0
3.377481562E0,3.107628584E0,-2.363873869E-1,-1.795175791E0
3.399480000E0,2.420928717E0,2.731091082E-1,-8.071973324E-1
3.419480000E0,1.546693325E0,1.540951133E-1,-1.510390520E0
